Experiment id: 10C_pretrain_commutative_cnn_20260625_152717
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717/10C_pretrain_commutative_cnn_20260625_152717_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  21:56:14 |   2.5587   2.5587   0.1157   4.7694   0.4636 |   6.9716   6.9716   0.0785   4.5858   0.4017
002/140 3.00e-05  24:31:34 |   2.5130   2.5130   0.1111   4.6333   0.5161 |   6.9204   6.9204   0.0848   4.4716   0.4780
003/140 3.00e-05  24:33:54 |   2.4813   2.4813   0.1143   4.5795   0.5648 |   6.8866   6.8866   0.0891   4.4613   0.4854
004/140 3.00e-05  25:48:54 |   2.4583   2.4583   0.1138   4.4963   0.5529 |   6.8591   6.8591   0.0916   4.3904   0.4673
005/140 3.00e-05  33:51:58 |   2.4408   2.4408   0.1130   4.4340   0.5327 |   6.8354   6.8354   0.0951   4.3634   0.4578
006/140 3.00e-05  41:49:41 |   2.4151   2.4151   0.1142   4.3826   0.5221 |   6.8063   6.8063   0.0995   4.3133   0.4406
007/140 3.00e-05  44:49:37 |   2.4070   2.4070   0.1169   4.3396   0.5097 |   6.7835   6.7835   0.0951   4.3037   0.4355
008/140 3.00e-05  42:46:16 |   2.4030   2.4030   0.1175   4.3202   0.5093 |   6.7621   6.7621   0.0985   4.2959   0.4382
009/140 3.00e-05  41:08:03 |   2.3837   2.3837   0.1192   4.2894   0.4994 |   6.7390   6.7390   0.1048   4.2600   0.4381
010/140 3.00e-05  40:03:23 |   2.3716   2.3716   0.1230   4.2631   0.4926 |   6.7110   6.7110   0.1022   4.2386   0.4154
011/140 3.00e-05  41:05:56 |   2.3603   2.3603   0.1226   4.2440   0.4857 |   6.6870   6.6870   0.1155   4.2199   0.4169
012/140 3.00e-05  42:54:32 |   2.3547   2.3547   0.1267   4.2266   0.4794 |   6.6579   6.6579   0.1044   4.2109   0.4119
013/140 3.00e-05  41:55:35 |   2.3395   2.3395   0.1291   4.2112   0.4632 |   6.6328   6.6328   0.1089   4.2002   0.4063
014/140 3.00e-05  42:47:31 |   2.3346   2.3346   0.1308   4.1996   0.4627 |   6.6093   6.6093   0.1104   4.1911   0.4102
015/140 3.00e-05  40:59:42 |   2.3093   2.3093   0.1306   4.1880   0.4501 |   6.5764   6.5764   0.1284   4.1798   0.3968
016/140 3.00e-05  39:22:11 |   2.3104   2.3104   0.1346   4.1805   0.4373 |   6.5378   6.5378   0.1104   4.1756   0.3843
017/140 3.00e-05  38:37:53 |   2.2871   2.2871   0.1369   4.1749   0.4339 |   6.5036   6.5036   0.1172   4.1703   0.3698
018/140 3.00e-05  39:14:22 |   2.3125   2.3125   0.1367   4.1699   0.4223 |   6.4836   6.4836   0.1372   4.1668   0.3774
019/140 3.00e-05  38:47:59 |   2.2679   2.2679   0.1411   4.1668   0.4231 |   6.4465   6.4465   0.1322   4.1647   0.3731
020/140 3.00e-05  37:31:11 |   2.2537   2.2537   0.1415   4.1642   0.4051 |   6.4014   6.4014   0.1443   4.1628   0.3696
