metric,value
best_epoch,137.0
best_metric,0.10808758117165995
n_epochs_recorded,140.0
final_train_loss,0.11604887454818553
min_train_loss,0.1119604885463657
min_train_loss_epoch,139.0
final_train_self_probe_loss,0.11604887454818553
min_train_self_probe_loss,0.1119604885463657
min_train_self_probe_loss_epoch,139.0
final_train_cross_probe_loss,2.510416020726137
min_train_cross_probe_loss,0.11113885493231396
min_train_cross_probe_loss_epoch,2.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.158882540484029
min_train_prototype_alignment_loss_epoch,41.0
final_train_latent_alignment_loss,0.22325408107035769
min_train_latent_alignment_loss,0.20544210202280436
min_train_latent_alignment_loss_epoch,115.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.22325408107035769
min_train_feature_alignment_loss,0.20544210202280436
min_train_feature_alignment_loss_epoch,115.0
final_train_self_probe_local_loss,0.04632141149340097
min_train_self_probe_local_loss,0.04031444875815828
min_train_self_probe_local_loss_epoch,139.0
final_train_cross_probe_local_loss,0.9928871830015491
min_train_cross_probe_local_loss,0.05194550928885667
min_train_cross_probe_local_loss_epoch,1.0
final_train_self_probe_region_time_loss,0.03041438760622338
min_train_self_probe_region_time_loss,0.030170771171687462
min_train_self_probe_region_time_loss_epoch,137.0
final_train_cross_probe_region_time_loss,1.5003724780391685
min_train_cross_probe_region_time_loss,0.018715773875754568
min_train_cross_probe_region_time_loss_epoch,9.0
final_train_self_probe_derivative_loss,0.0009037696548574528
min_train_self_probe_derivative_loss,0.0008174914187697656
min_train_self_probe_derivative_loss_epoch,105.0
final_train_cross_probe_derivative_loss,0.0008463234752756368
min_train_cross_probe_derivative_loss,0.00023419001100661026
min_train_cross_probe_derivative_loss_epoch,31.0
final_train_self_probe_frequency_loss,0.002731725008203418
min_train_self_probe_frequency_loss,0.0026414927732072665
min_train_self_probe_frequency_loss_epoch,137.0
final_train_cross_probe_frequency_loss,0.0052120542224255335
min_train_cross_probe_frequency_loss,0.0029458451173222256
min_train_cross_probe_frequency_loss_epoch,26.0
final_train_self_probe_correlation_loss,0.776279166553468
min_train_self_probe_correlation_loss,0.7560295311470325
min_train_self_probe_correlation_loss_epoch,34.0
final_train_cross_probe_correlation_loss,0.3284732094187899
min_train_cross_probe_correlation_loss,0.05248536414065031
min_train_cross_probe_correlation_loss_epoch,1.0
final_val_loss,0.11688272532376444
min_val_loss,0.10273635278669943
min_val_loss_epoch,138.0
final_val_self_probe_loss,0.11688272532376444
min_val_self_probe_loss,0.10273635278669943
min_val_self_probe_loss_epoch,138.0
final_val_cross_probe_loss,6.044940847787798
min_val_cross_probe_loss,0.07847470739243194
min_val_cross_probe_loss_epoch,1.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss_epoch,41.0
final_val_latent_alignment_loss,0.24702628530700754
min_val_latent_alignment_loss,0.2259787795891673
min_val_latent_alignment_loss_epoch,114.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.24702628530700754
min_val_feature_alignment_loss,0.2259787795891673
min_val_feature_alignment_loss_epoch,114.0
final_val_self_probe_local_loss,0.040131746893980025
min_val_self_probe_local_loss,0.03563347584076272
min_val_self_probe_local_loss_epoch,138.0
final_val_cross_probe_local_loss,2.3426639121604262
min_val_cross_probe_local_loss,0.040490619676268616
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.03729895813541013
min_val_self_probe_region_time_loss,0.027630855388627012
min_val_self_probe_region_time_loss_epoch,138.0
final_val_cross_probe_region_time_loss,3.6853584050293433
min_val_cross_probe_region_time_loss,0.01168820749019614
min_val_cross_probe_region_time_loss_epoch,8.0
final_val_self_probe_derivative_loss,0.007438511741604303
min_val_self_probe_derivative_loss,0.0071681354816092654
min_val_self_probe_derivative_loss_epoch,114.0
final_val_cross_probe_derivative_loss,0.0017730169809691467
min_val_cross_probe_derivative_loss,0.00011205796231168628
min_val_cross_probe_derivative_loss_epoch,23.0
final_val_self_probe_frequency_loss,0.007097027084127832
min_val_self_probe_frequency_loss,0.006133654353683178
min_val_self_probe_frequency_loss_epoch,87.0
final_val_cross_probe_frequency_loss,0.00918585164125384
min_val_cross_probe_frequency_loss,0.002373177669537456
min_val_cross_probe_frequency_loss_epoch,22.0
final_val_self_probe_correlation_loss,0.7376538439196829
min_val_self_probe_correlation_loss,0.7302852595074577
min_val_self_probe_correlation_loss_epoch,35.0
final_val_cross_probe_correlation_loss,0.31113134722531954
min_val_cross_probe_correlation_loss,0.047798078229523595
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.11688272532376444
min_monitor_metric_raw,0.10273635278669943
min_monitor_metric_raw_epoch,138.0
final_monitor_metric,0.11563536658975648
min_monitor_metric,0.10808758117165995
min_monitor_metric_epoch,137.0
