Experiment id: 10C_pretrain_commutative_cnn_20260629_100055
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055/10C_pretrain_commutative_cnn_20260629_100055_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  84:36:29 |   2.5563   2.5563   0.1018   4.5008   0.3566 |   6.9685   6.9685   0.0622   4.3541   0.2571
002/140 3.00e-05  83:39:15 |   2.5156   2.5156   0.0873   4.4376   0.3777 |   6.9309   6.9309   0.0625   4.3325   0.3224
003/140 3.00e-05  82:46:30 |   2.4865   2.4865   0.0892   4.3861   0.4211 |   6.8932   6.8932   0.0648   4.2887   0.3559
004/140 3.00e-05  82:07:23 |   2.4608   2.4608   0.0941   4.3404   0.4520 |   6.8609   6.8609   0.0731   4.2611   0.3854
005/140 3.00e-05  81:24:56 |   2.4398   2.4398   0.0998   4.3173   0.4560 |   6.8318   6.8318   0.0796   4.2577   0.3875
006/140 3.00e-05  80:46:24 |   2.4242   2.4242   0.1042   4.2939   0.4624 |   6.8063   6.8063   0.0828   4.2503   0.4048
007/140 3.00e-05  80:08:00 |   2.4052   2.4052   0.1096   4.2751   0.4613 |   6.7764   6.7764   0.0926   4.2394   0.4114
008/140 3.00e-05  79:30:09 |   2.3858   2.3858   0.1130   4.2597   0.4591 |   6.7465   6.7465   0.0960   4.2378   0.4298
009/140 3.00e-05  78:55:38 |   2.3873   2.3873   0.1169   4.2493   0.4733 |   6.7242   6.7242   0.0950   4.2256   0.4175
010/140 3.00e-05  78:19:07 |   2.3685   2.3685   0.1190   4.2346   0.4663 |   6.6994   6.6994   0.0852   4.2090   0.4073
011/140 3.00e-05  77:41:29 |   2.3572   2.3572   0.1239   4.2185   0.4516 |   6.6676   6.6676   0.1008   4.2081   0.4141
012/140 3.00e-05  77:03:08 |   2.3443   2.3443   0.1261   4.2107   0.4484 |   6.6437   6.6437   0.1068   4.2006   0.4036
013/140 3.00e-05  76:25:29 |   2.3350   2.3350   0.1296   4.2028   0.4479 |   6.6121   6.6121   0.1123   4.1933   0.4137
014/140 3.00e-05  75:48:15 |   2.3278   2.3278   0.1324   4.1942   0.4519 |   6.5789   6.5789   0.1046   4.1872   0.4049
015/140 3.00e-05  75:10:42 |   2.3218   2.3218   0.1308   4.1854   0.4256 |   6.5421   6.5421   0.1210   4.1822   0.4073
016/140 3.00e-05  74:34:03 |   2.3018   2.3018   0.1361   4.1801   0.4354 |   6.5134   6.5134   0.1175   4.1756   0.3983
017/140 3.00e-05  73:56:19 |   2.2755   2.2755   0.1368   4.1743   0.4249 |   6.4762   6.4762   0.1256   4.1714   0.3939
018/140 3.00e-05  73:19:57 |   2.2789   2.2789   0.1400   4.1708   0.4301 |   6.4344   6.4344   0.1106   4.1686   0.3944
019/140 3.00e-05  72:43:27 |   2.2615   2.2615   0.1416   4.1675   0.4228 |   6.4189   6.4189   0.1136   4.1663   0.4048
020/140 3.00e-05  72:08:02 |   2.2376   2.2376   0.1420   4.1650   0.4184 |   6.3578   6.3578   0.1342   4.1635   0.3791
021/140 3.00e-05  71:32:06 |   2.2415   2.2415   0.1449   4.1628   0.4033 |   6.3302   6.3302   0.1291   4.1618   0.3688
022/140 3.00e-05  70:56:03 |   2.2269   2.2269   0.1449   4.1613   0.3885 |   6.2738   6.2738   0.1372   4.1608   0.3700
023/140 3.00e-05  70:19:28 |   2.2007   2.2007   0.1474   4.1604   0.3899 |   6.2292   6.2292   0.1499   4.1600   0.3733
024/140 3.00e-05  69:43:17 |   2.1931   2.1931   0.1497   4.1598   0.3905 |   6.1713   6.1713   0.1401   4.1595   0.3603
025/140 3.00e-05  69:06:04 |   2.1752   2.1752   0.1522   4.1594   0.3817 |   6.1438   6.1438   0.1479   4.1592   0.3560
026/140 3.00e-05  68:29:45 |   2.1019   2.1019   0.1573   4.1591   0.3772 |   6.0686   6.0686   0.1522   4.1591   0.3543
027/140 3.00e-05  67:52:59 |   2.1221   2.1221   0.1575   4.1590   0.3754 |   6.0119   6.0119   0.1560   4.1590   0.3538
028/140 3.00e-05  67:17:16 |   2.0936   2.0936   0.1612   4.1589   0.3701 |   5.9460   5.9460   0.1615   4.1589   0.3458
029/140 3.00e-05  66:41:14 |   2.1169   2.1169   0.1564   4.1589   0.3650 |   5.8856   5.8856   0.1663   4.1589   0.3474
