Experiment id: 13C_finetune_commutative_cnn_20260701_050638
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/13C/runs/13C_finetune_commutative_cnn_20260701_050638
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055/10C_pretrain_commutative_cnn_20260629_100055_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/13C/runs/13C_finetune_commutative_cnn_20260701_050638/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
001/120 8.00e-06   9:27:37 |   3.0305   1.3917   0.6619   0.1897   2.5723   1.1023 |   2.9597   1.3037   0.6624   0.1992   2.5559   1.0932
002/120 8.00e-06   9:24:47 |   2.9519   1.3232   0.6503   0.5382   2.5305   1.0960 |   2.8788   1.2388   0.6552   1.0431   2.5085   1.0800
003/120 8.00e-06   9:20:09 |   2.9148   1.2995   0.6401   0.7675   2.5038   1.0922 |   2.8512   1.2273   0.6560   1.1696   2.4834   1.0790
004/120 8.00e-06   9:15:14 |   2.8956   1.2932   0.6357   0.8673   2.4851   1.0895 |   2.8259   1.2212   0.6580   1.1054   2.4565   1.0817
005/120 8.00e-06   9:10:07 |   2.8781   1.2797   0.6331   0.8545   2.4747   1.0852 |   2.8130   1.2182   0.6599   1.1246   2.4428   1.0823
006/120 8.00e-06   9:05:05 |   2.8647   1.2836   0.6313   0.8753   2.4546   1.0854 |   2.8041   1.2144   0.6616   1.2228   2.4348   1.0815
007/120 8.00e-06   9:00:01 |   2.8512   1.2770   0.6294   0.8944   2.4434   1.0832 |   2.7915   1.2105   0.6640   1.2419   2.4220   1.0827
008/120 8.00e-06   8:54:51 |   2.8370   1.2717   0.6288   0.9308   2.4300   1.0836 |   2.7812   1.2100   0.6662   1.2288   2.4095   1.0825
009/120 8.00e-06   8:52:18 |   2.8309   1.2696   0.6313   0.8948   2.4240   1.0834 |   2.7737   1.2067   0.6671   1.3283   2.4028   1.0816
010/120 8.00e-06   8:49:02 |   2.8194   1.2685   0.6305   0.9576   2.4105   1.0816 |   2.7597   1.2054   0.6694   1.2970   2.3861   1.0835
011/120 8.00e-06   8:44:54 |   2.8042   1.2648   0.6291   0.9857   2.3948   1.0802 |   2.7490   1.2012   0.6705   1.3735   2.3762   1.0843
012/120 8.00e-06   8:40:04 |   2.7894   1.2529   0.6292   1.0125   2.3859   1.0803 |   2.7418   1.2007   0.6722   1.4313   2.3676   1.0833
013/120 8.00e-06   8:36:14 |   2.7830   1.2598   0.6279   1.0644   2.3723   1.0805 |   2.7305   1.1991   0.6743   1.4291   2.3546   1.0856
014/120 8.00e-06   8:31:49 |   2.7681   1.2569   0.6272   1.0586   2.3563   1.0778 |   2.7231   1.1970   0.6751   1.5161   2.3471   1.0845
015/120 8.00e-06   8:28:09 |   2.7637   1.2525   0.6275   1.0853   2.3543   1.0794 |   2.7160   1.1960   0.6763   1.5767   2.3389   1.0852
016/120 8.00e-06   8:24:49 |   2.7389   1.2356   0.6249   1.1202   2.3371   1.0768 |   2.7070   1.1934   0.6777   1.5816   2.3296   1.0878
017/120 8.00e-06   8:20:51 |   2.7339   1.2404   0.6248   1.1451   2.3270   1.0762 |   2.6988   1.1913   0.6795   1.6250   2.3209   1.0892
018/120 8.00e-06   8:16:22 |   2.7297   1.2335   0.6260   1.1447   2.3274   1.0767 |   2.6936   1.1914   0.6806   1.6934   2.3143   1.0898
019/120 8.00e-06   8:11:11 |   2.7209   1.2378   0.6247   1.1937   2.3128   1.0776 |   2.6870   1.1899   0.6823   1.6963   2.3070   1.0926
020/120 8.00e-06   8:05:46 |   2.7081   1.2345   0.6254   1.2763   2.2996   1.0769 |   2.6793   1.1871   0.6832   1.7282   2.2995   1.0953
021/120 8.00e-06   8:00:03 |   2.6958   1.2259   0.6224   1.2869   2.2913   1.0771 |   2.6735   1.1849   0.6844   1.7554   2.2938   1.0980
022/120 8.00e-06   7:54:34 |   2.6899   1.2255   0.6220   1.3415   2.2844   1.0752 |   2.6686   1.1831   0.6857   1.7837   2.2889   1.1005
023/120 8.00e-06   7:49:04 |   2.6784   1.2208   0.6224   1.3589   2.2738   1.0749 |   2.6609   1.1785   0.6861   1.7917   2.2829   1.1036
024/120 8.00e-06   7:43:54 |   2.6801   1.2198   0.6215   1.3923   2.2768   1.0750 |   2.6560   1.1768   0.6880   1.8218   2.2779   1.1061
025/120 8.00e-06   7:38:53 |   2.6621   1.2140   0.6223   1.4538   2.2590   1.0735 |   2.6741   1.1898   0.6895   2.0515   2.2900   1.1057
026/120 8.00e-06   7:33:42 |   2.6510   1.2099   0.6194   1.5374   2.2483   1.0755 |   2.6487   1.1736   0.6893   1.9395   2.2711   1.1097
027/120 8.00e-06   7:28:47 |   2.6349   1.2031   0.6179   1.5010   2.2339   1.0744 |   2.6468   1.1731   0.6915   2.0035   2.2690   1.1127
028/120 8.00e-06   7:23:43 |   2.6274   1.1970   0.6176   1.5780   2.2295   1.0733 |   2.6555   1.1795   0.6934   2.1119   2.2744   1.1155
029/120 8.00e-06   7:18:43 |   2.6251   1.1999   0.6167   1.5847   2.2243   1.0747 |   2.6418   1.1704   0.6938   2.0779   2.2645   1.1185
030/120 8.00e-06   7:13:42 |   2.6205   1.1959   0.6164   1.6550   2.2216   1.0770 |   2.6434   1.1721   0.6952   2.1630   2.2649   1.1214
031/120 8.00e-06   7:08:43 |   2.6039   1.1905   0.6155   1.6510   2.2056   1.0719 |   2.6320   1.1641   0.6957   2.1491   2.2570   1.1233
