metric,value
best_epoch,138.0
best_metric,0.141568276244476
n_epochs_recorded,140.0
final_train_loss,0.195935993928679
min_train_loss,0.11808512071975631
min_train_loss_epoch,128.0
final_train_self_probe_loss,0.195935993928679
min_train_self_probe_loss,0.11808512071975631
min_train_self_probe_loss_epoch,128.0
final_train_cross_probe_loss,2.5167294266734896
min_train_cross_probe_loss,0.08734863424831112
min_train_cross_probe_loss_epoch,2.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.158882477673427
min_train_prototype_alignment_loss_epoch,41.0
final_train_latent_alignment_loss,0.20353278064636185
min_train_latent_alignment_loss,0.2008268588460761
min_train_latent_alignment_loss_epoch,138.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.20353278064636185
min_train_feature_alignment_loss,0.2008268588460761
min_train_feature_alignment_loss_epoch,138.0
final_train_self_probe_local_loss,0.07934222111537742
min_train_self_probe_local_loss,0.04692828117304458
min_train_self_probe_local_loss_epoch,128.0
final_train_cross_probe_local_loss,1.0372715331736695
min_train_cross_probe_local_loss,0.04376860837218005
min_train_cross_probe_local_loss_epoch,2.0
final_train_self_probe_region_time_loss,0.07793887547686548
min_train_self_probe_region_time_loss,0.032394521758287456
min_train_self_probe_region_time_loss_epoch,128.0
final_train_cross_probe_region_time_loss,1.4631730034685684
min_train_cross_probe_region_time_loss,0.018471527460279632
min_train_cross_probe_region_time_loss_epoch,10.0
final_train_self_probe_derivative_loss,0.0009629347815880405
min_train_self_probe_derivative_loss,0.0008128942270291934
min_train_self_probe_derivative_loss_epoch,94.0
final_train_cross_probe_derivative_loss,0.0007006064441598193
min_train_cross_probe_derivative_loss,0.00024650797504773486
min_train_cross_probe_derivative_loss_epoch,29.0
final_train_self_probe_frequency_loss,0.003017088571969986
min_train_self_probe_frequency_loss,0.0027918953574533473
min_train_self_probe_frequency_loss_epoch,68.0
final_train_cross_probe_frequency_loss,0.004878491021408552
min_train_cross_probe_frequency_loss,0.00301066533297926
min_train_cross_probe_frequency_loss_epoch,29.0
final_train_self_probe_correlation_loss,0.7622490592636209
min_train_self_probe_correlation_loss,0.7568691432410616
min_train_self_probe_correlation_loss_epoch,53.0
final_train_cross_probe_correlation_loss,0.31244125023369734
min_train_cross_probe_correlation_loss,0.04729031881012848
min_train_cross_probe_correlation_loss_epoch,1.0
final_val_loss,0.213029894977808
min_val_loss,0.1380669908216281
min_val_loss_epoch,137.0
final_val_self_probe_loss,0.213029894977808
min_val_self_probe_loss,0.1380669908216281
min_val_self_probe_loss_epoch,137.0
final_val_cross_probe_loss,5.4320376154428685
min_val_cross_probe_loss,0.06222452940592855
min_val_cross_probe_loss_epoch,1.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.1588822240414824
min_val_prototype_alignment_loss_epoch,40.0
final_val_latent_alignment_loss,0.2190277483892737
min_val_latent_alignment_loss,0.2190277483892737
min_val_latent_alignment_loss_epoch,140.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.2190277483892737
min_val_feature_alignment_loss,0.2190277483892737
min_val_feature_alignment_loss_epoch,140.0
final_val_self_probe_local_loss,0.07752452961383213
min_val_self_probe_local_loss,0.04925562587410489
min_val_self_probe_local_loss_epoch,137.0
final_val_cross_probe_local_loss,2.1671334510634406
min_val_cross_probe_local_loss,0.03152264957750066
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.09609092789360825
min_val_self_probe_region_time_loss,0.049352946445369014
min_val_self_probe_region_time_loss_epoch,137.0
final_val_cross_probe_region_time_loss,3.2482886085321443
min_val_cross_probe_region_time_loss,0.011456741853067593
min_val_cross_probe_region_time_loss_epoch,6.0
final_val_self_probe_derivative_loss,0.007402859282841102
min_val_self_probe_derivative_loss,0.007140168903257426
min_val_self_probe_derivative_loss_epoch,61.0
final_val_cross_probe_derivative_loss,0.0016647546639354043
min_val_cross_probe_derivative_loss,0.00012112814230863902
min_val_cross_probe_derivative_loss_epoch,25.0
final_val_self_probe_frequency_loss,0.00774250211236096
min_val_self_probe_frequency_loss,0.006175047377419444
min_val_self_probe_frequency_loss_epoch,105.0
final_val_cross_probe_frequency_loss,0.008368035346726591
min_val_cross_probe_frequency_loss,0.002222159996004023
min_val_cross_probe_frequency_loss_epoch,19.0
final_val_self_probe_correlation_loss,0.7357895707491762
min_val_self_probe_correlation_loss,0.7306797611787452
min_val_self_probe_correlation_loss_epoch,91.0
final_val_cross_probe_correlation_loss,0.30726031727672365
min_val_cross_probe_correlation_loss,0.032408597931173275
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.213029894977808
min_monitor_metric_raw,0.1380669908216281
min_monitor_metric_raw_epoch,137.0
final_monitor_metric,0.14466103707781489
min_monitor_metric,0.141568276244476
min_monitor_metric_epoch,138.0
