target,metric,value
action,accuracy,0.4788732394366197
action,macro_precision,0.48690476190476184
action,macro_recall,0.38733333333333336
action,macro_f1,0.37221703496213304
action,weighted_precision,0.4625251509054326
action,weighted_recall,0.4788732394366197
action,weighted_f1,0.39864751325673725
action,n_samples,71.0
action,roc_auc_ovr_macro,0.7052354317423116
action,average_precision_macro,0.4529478850991765
compound,accuracy,0.43661971830985913
compound,macro_precision,0.23504273504273504
compound,macro_recall,0.27935897435897433
compound,macro_f1,0.23576760791950666
compound,weighted_precision,0.29890453834115804
compound,weighted_recall,0.43661971830985913
compound,weighted_f1,0.3224104118381173
compound,n_samples,71.0
compound,roc_auc_ovr_macro,0.8120275462924944
compound,average_precision_macro,0.36026051340470266
concentration,accuracy,0.43661971830985913
concentration,macro_precision,0.48305860805860806
concentration,macro_recall,0.41587301587301595
concentration,macro_f1,0.34109293631287013
concentration,weighted_precision,0.48210416344219165
concentration,weighted_recall,0.43661971830985913
concentration,weighted_f1,0.35541048079589777
concentration,n_samples,71.0
concentration,roc_auc_ovr_macro,0.6450241545893719
concentration,average_precision_macro,0.510150030822505
