true_class,Control,Bemegride,Bicuculline,Gabazine,(RS)-(Tetrazol-5-yl)glycine,Cis-ACPD,N-methyl-D-aspartate,Donepezil,Galantamine,Phenserine,Bethanechol,Muscarine,Pilocarpine
Control,21,0,2,2,0,0,0,0,0,0,0,0,0
Bemegride,4,0,1,0,1,0,0,0,0,0,0,0,0
Bicuculline,0,0,3,0,0,0,0,0,0,0,0,0,0
Gabazine,3,0,0,0,0,0,0,0,0,0,0,0,0
(RS)-(Tetrazol-5-yl)glycine,0,0,0,0,2,0,0,0,0,0,0,0,1
Cis-ACPD,3,0,0,0,0,0,0,0,0,0,0,0,0
N-methyl-D-aspartate,0,0,0,0,0,0,4,0,0,0,0,0,0
Donepezil,4,0,0,0,0,0,0,0,0,0,0,0,0
Galantamine,4,0,0,0,0,0,0,0,0,0,0,0,0
Phenserine,4,0,0,0,0,0,0,0,0,0,0,0,0
Bethanechol,3,0,0,0,0,0,0,0,0,0,0,0,0
Muscarine,1,0,0,0,0,0,0,0,0,0,0,0,0
Pilocarpine,7,0,0,0,0,0,0,0,0,0,0,0,1
