class,precision,recall,f1-score,support
Control,0.3888888888888889,0.84,0.5316455696202531,25.0
Bemegride,0.0,0.0,0.0,6.0
Bicuculline,0.5,1.0,0.6666666666666666,3.0
Gabazine,0.0,0.0,0.0,3.0
(RS)-(Tetrazol-5-yl)glycine,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Cis-ACPD,0.0,0.0,0.0,3.0
N-methyl-D-aspartate,1.0,1.0,1.0,4.0
Donepezil,0.0,0.0,0.0,4.0
Galantamine,0.0,0.0,0.0,4.0
Phenserine,0.0,0.0,0.0,4.0
Bethanechol,0.0,0.0,0.0,3.0
Muscarine,0.0,0.0,0.0,1.0
Pilocarpine,0.5,0.125,0.2,8.0
