Experiment id: 10C_pretrain_commutative_cnn_20260701_130752
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  22:52:09 |   2.5545   2.5545   0.1041   4.4644   0.4126 |   6.9686   6.9686   0.0751   4.3660   0.4046
002/140 3.00e-05  22:39:26 |   2.5133   2.5133   0.1004   4.5044   0.5455 |   6.9263   6.9263   0.0771   4.4273   0.5288
003/140 3.00e-05  22:21:32 |   2.4793   2.4793   0.1040   4.5147   0.6522 |   6.8896   6.8896   0.0788   4.4507   0.5931
004/140 3.00e-05  22:14:34 |   2.4568   2.4568   0.1039   4.4935   0.6906 |   6.8601   6.8601   0.0799   4.4323   0.5986
005/140 3.00e-05  22:03:21 |   2.4383   2.4383   0.1048   4.4601   0.6954 |   6.8358   6.8358   0.0828   4.4014   0.5931
006/140 3.00e-05  21:52:23 |   2.4261   2.4261   0.1055   4.4153   0.6844 |   6.8124   6.8124   0.0806   4.3569   0.5514
007/140 3.00e-05  21:40:47 |   2.4097   2.4097   0.1065   4.3719   0.6574 |   6.7882   6.7882   0.0903   4.3270   0.5566
008/140 3.00e-05  21:31:39 |   2.3956   2.3956   0.1112   4.3372   0.6477 |   6.7613   6.7613   0.0951   4.2977   0.5743
009/140 3.00e-05  21:20:58 |   2.3843   2.3843   0.1127   4.3019   0.6428 |   6.7397   6.7397   0.0901   4.2602   0.5213
010/140 3.00e-05  21:14:17 |   2.3733   2.3733   0.1165   4.2757   0.6179 |   6.7090   6.7090   0.1016   4.2506   0.5454
