Experiment id: 13C_finetune_commutative_cnn_20260702_151104
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
001/120 8.00e-06   9:36:57 |   3.2873   1.3943   0.7237   0.2018   2.5501   1.0926 |   3.1870   1.3189   0.7163   0.3044   2.4876   1.0910
002/120 8.00e-06   9:31:27 |   3.2098   1.3617   0.7029   0.6227   2.4893   1.0882 |   3.0909   1.3088   0.6989   1.1606   2.3971   1.0819
003/120 8.00e-06   9:27:25 |   3.1585   1.3467   0.6883   0.9901   2.4457   1.0864 |   3.0570   1.3005   0.6938   1.4812   2.3672   1.0863
004/120 8.00e-06   9:25:10 |   3.1315   1.3326   0.6778   1.1520   2.4259   1.0835 |   3.0337   1.2909   0.6906   1.6763   2.3487   1.0901
005/120 8.00e-06   9:20:41 |   3.1178   1.3273   0.6708   1.1723   2.4151   1.0805 |   3.0184   1.2814   0.6870   1.9476   2.3380   1.0942
006/120 8.00e-06   9:17:02 |   3.0957   1.3164   0.6626   1.2923   2.3984   1.0797 |   2.9981   1.2708   0.6864   2.0334   2.3229   1.0963
007/120 8.00e-06   9:12:37 |   3.0749   1.3116   0.6589   1.3248   2.3800   1.0800 |   2.9822   1.2641   0.6857   2.0871   2.3103   1.0989
008/120 8.00e-06   9:08:26 |   3.0577   1.3005   0.6543   1.3645   2.3686   1.0758 |   2.9649   1.2558   0.6868   2.0800   2.2971   1.1003
009/120 8.00e-06   9:03:06 |   3.0488   1.2961   0.6508   1.3836   2.3619   1.0764 |   2.9516   1.2451   0.6873   2.2060   2.2891   1.1032
010/120 8.00e-06   9:02:46 |   3.0292   1.2890   0.6472   1.4883   2.3460   1.0755 |   2.9392   1.2386   0.6883   2.2556   2.2798   1.1059
011/120 8.00e-06  13:00:35 |   3.0257   1.2886   0.6454   1.4333   2.3427   1.0755 |   2.9289   1.2299   0.6901   2.3713   2.2738   1.1086
012/120 8.00e-06  13:23:51 |   3.0022   1.2805   0.6419   1.5366   2.3232   1.0758 |   2.9139   1.2248   0.6919   2.2708   2.2612   1.1097
013/120 8.00e-06  16:33:40 |   2.9937   1.2784   0.6393   1.4869   2.3159   1.0731 |   2.9118   1.2178   0.6922   2.4786   2.2626   1.1120
014/120 8.00e-06  17:28:28 |   2.9669   1.2699   0.6368   1.6281   2.2934   1.0738 |   2.8960   1.2111   0.6947   2.4467   2.2500   1.1150
015/120 8.00e-06  17:15:01 |   2.9649   1.2642   0.6359   1.6213   2.2943   1.0726 |   2.8910   1.2058   0.6961   2.5635   2.2476   1.1179
016/120 8.00e-06  18:55:43 |   2.9464   1.2523   0.6335   1.6109   2.2819   1.0687 |   2.8843   1.2012   0.6976   2.6145   2.2432   1.1204
017/120 8.00e-06  19:34:56 |   2.9371   1.2470   0.6314   1.6663   2.2752   1.0680 |   2.8769   1.1973   0.6980   2.6178   2.2377   1.1211
018/120 8.00e-06  18:50:32 |   2.9340   1.2495   0.6289   1.7160   2.2709   1.0692 |   2.8778   1.1944   0.7001   2.7916   2.2399   1.1253
019/120 8.00e-06  18:07:20 |   2.9141   1.2426   0.6277   1.7301   2.2545   1.0682 |   2.8693   1.1899   0.6997   2.8068   2.2336   1.1246
020/120 8.00e-06  17:27:11 |   2.9028   1.2376   0.6256   1.8012   2.2459   1.0642 |   2.8589   1.1853   0.6952   2.7426   2.2257   1.1208
