metric,value
best_epoch,137.0
best_metric,0.1606515619603003
n_epochs_recorded,140.0
final_train_loss,0.17816662385192844
min_train_loss,0.14337742418606902
min_train_loss_epoch,139.0
final_train_self_probe_loss,0.17816662385192844
min_train_self_probe_loss,0.14337742418606902
min_train_self_probe_loss_epoch,139.0
final_train_cross_probe_loss,1.9921645768780085
min_train_cross_probe_loss,0.10038082959165165
min_train_cross_probe_loss_epoch,2.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.158882540484029
min_train_prototype_alignment_loss_epoch,42.0
final_train_latent_alignment_loss,0.19391188779528917
min_train_latent_alignment_loss,0.19391188779528917
min_train_latent_alignment_loss_epoch,140.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.19391188779528917
min_train_feature_alignment_loss,0.19391188779528917
min_train_feature_alignment_loss_epoch,140.0
final_train_self_probe_local_loss,0.06505342046234401
min_train_self_probe_local_loss,0.05111293170323062
min_train_self_probe_local_loss_epoch,139.0
final_train_cross_probe_local_loss,0.8280777104697818
min_train_cross_probe_local_loss,0.04667322875361411
min_train_cross_probe_local_loss_epoch,1.0
final_train_self_probe_region_time_loss,0.07431535008665006
min_train_self_probe_region_time_loss,0.046856103172580967
min_train_self_probe_region_time_loss_epoch,130.0
final_train_cross_probe_region_time_loss,1.1481063449469064
min_train_cross_probe_region_time_loss,0.018204731697014212
min_train_cross_probe_region_time_loss_epoch,9.0
final_train_self_probe_derivative_loss,0.0010242949810772817
min_train_self_probe_derivative_loss,0.0008468415788640641
min_train_self_probe_derivative_loss_epoch,137.0
final_train_cross_probe_derivative_loss,0.0005476261818324396
min_train_cross_probe_derivative_loss,0.0002073389694948796
min_train_cross_probe_derivative_loss_epoch,34.0
final_train_self_probe_frequency_loss,0.0027929320029886776
min_train_self_probe_frequency_loss,0.002655848901632981
min_train_self_probe_frequency_loss_epoch,138.0
final_train_cross_probe_frequency_loss,0.00429900065455463
min_train_cross_probe_frequency_loss,0.0028794072624643533
min_train_cross_probe_frequency_loss_epoch,29.0
final_train_self_probe_correlation_loss,0.7652494937475898
min_train_self_probe_correlation_loss,0.756115130875689
min_train_self_probe_correlation_loss_epoch,82.0
final_train_cross_probe_correlation_loss,0.30827317214300026
min_train_cross_probe_correlation_loss,0.038290158466207994
min_train_cross_probe_correlation_loss_epoch,2.0
final_val_loss,0.17525491723501535
min_val_loss,0.15977509738588186
min_val_loss_epoch,136.0
final_val_self_probe_loss,0.17525491723501535
min_val_self_probe_loss,0.15977509738588186
min_val_self_probe_loss_epoch,136.0
final_val_cross_probe_loss,5.630880564543771
min_val_cross_probe_loss,0.07509934550486737
min_val_cross_probe_loss_epoch,1.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss_epoch,41.0
final_val_latent_alignment_loss,0.23256941389593278
min_val_latent_alignment_loss,0.22407705720907412
min_val_latent_alignment_loss_epoch,124.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.23256941389593278
min_val_feature_alignment_loss,0.22407705720907412
min_val_feature_alignment_loss_epoch,124.0
final_val_self_probe_local_loss,0.06009203789073118
min_val_self_probe_local_loss,0.05475669939458509
min_val_self_probe_local_loss_epoch,137.0
final_val_cross_probe_local_loss,2.2388851331627886
min_val_cross_probe_local_loss,0.037380500470999604
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.07566065222071194
min_val_self_probe_region_time_loss,0.058345176299790975
min_val_self_probe_region_time_loss_epoch,129.0
final_val_cross_probe_region_time_loss,3.3755634862304844
min_val_cross_probe_region_time_loss,0.011604886212796898
min_val_cross_probe_region_time_loss_epoch,9.0
final_val_self_probe_derivative_loss,0.007392991259994176
min_val_self_probe_derivative_loss,0.007056627753197927
min_val_self_probe_derivative_loss_epoch,100.0
final_val_cross_probe_derivative_loss,0.0019292021078122755
min_val_cross_probe_derivative_loss,9.908291304437733e-05
min_val_cross_probe_derivative_loss_epoch,24.0
final_val_self_probe_frequency_loss,0.007213114810708378
min_val_self_probe_frequency_loss,0.006312726094439533
min_val_self_probe_frequency_loss_epoch,97.0
final_val_cross_probe_frequency_loss,0.008675106982584835
min_val_cross_probe_frequency_loss,0.002299236619602079
min_val_cross_probe_frequency_loss_epoch,24.0
final_val_self_probe_correlation_loss,0.7386531655832848
min_val_self_probe_correlation_loss,0.730670501171432
min_val_self_probe_correlation_loss_epoch,32.0
final_val_cross_probe_correlation_loss,0.30164298119011873
min_val_cross_probe_correlation_loss,0.022327726880400817
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.17525491723501535
min_monitor_metric_raw,0.15977509738588186
min_monitor_metric_raw_epoch,136.0
final_monitor_metric,0.18065094767335038
min_monitor_metric,0.1606515619603003
min_monitor_metric_epoch,137.0
