target,metric,value
action,accuracy,0.4788732394366197
action,macro_precision,0.4453030303030303
action,macro_recall,0.3906666666666666
action,macro_f1,0.3678104575163399
action,weighted_precision,0.4282330345710627
action,weighted_recall,0.4788732394366197
action,weighted_f1,0.394198195710209
action,n_samples,71.0
action,roc_auc_ovr_macro,0.7294350846249562
action,average_precision_macro,0.4872489596752974
compound,accuracy,0.39436619718309857
compound,macro_precision,0.22371794871794876
compound,macro_recall,0.2765384615384615
compound,macro_f1,0.23323936337634965
compound,weighted_precision,0.27664319248826297
compound,weighted_recall,0.39436619718309857
compound,weighted_f1,0.3058011831887965
compound,n_samples,71.0
compound,roc_auc_ovr_macro,0.7632599969835737
compound,average_precision_macro,0.36577956343561335
concentration,accuracy,0.39436619718309857
concentration,macro_precision,0.4581196581196581
concentration,macro_recall,0.3834920634920635
concentration,macro_f1,0.30938375350140057
concentration,weighted_precision,0.4665944384254243
concentration,weighted_recall,0.39436619718309857
concentration,weighted_f1,0.3135578174931945
concentration,n_samples,71.0
concentration,roc_auc_ovr_macro,0.5212836438923395
concentration,average_precision_macro,0.39858769298485547
