Experiment id: 10C_pretrain_commutative_cnn_20260703_031245
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  21:10:26 |   2.5520   2.5520   0.1209   4.6052   0.4769 |   6.9607   6.9607   0.0830   4.4310   0.4317
002/140 3.00e-05  21:11:43 |   2.5056   2.5056   0.1114   4.5111   0.5415 |   6.9172   6.9172   0.0821   4.4190   0.5149
003/140 3.00e-05  21:00:23 |   2.4786   2.4786   0.1094   4.4919   0.5907 |   6.8893   6.8893   0.0779   4.4170   0.4964
004/140 3.00e-05  20:55:43 |   2.4579   2.4579   0.1055   4.4761   0.5999 |   6.8624   6.8624   0.0798   4.4437   0.5186
005/140 3.00e-05  20:44:56 |   2.4413   2.4413   0.1053   4.4358   0.5852 |   6.8354   6.8354   0.0858   4.3910   0.5100
006/140 3.00e-05  20:37:20 |   2.4248   2.4248   0.1062   4.3969   0.5753 |   6.8103   6.8103   0.0898   4.3790   0.5101
007/140 3.00e-05  20:26:47 |   2.4049   2.4049   0.1092   4.3662   0.5624 |   6.7847   6.7847   0.0893   4.3381   0.4840
008/140 3.00e-05  20:19:28 |   2.3921   2.3921   0.1127   4.3323   0.5434 |   6.7615   6.7615   0.0970   4.3083   0.4876
009/140 3.00e-05  20:10:28 |   2.3825   2.3825   0.1145   4.3032   0.5338 |   6.7380   6.7380   0.0940   4.2847   0.4746
010/140 3.00e-05  20:03:01 |   2.3693   2.3693   0.1171   4.2739   0.5162 |   6.7141   6.7141   0.0989   4.2557   0.4615
011/140 3.00e-05  19:53:17 |   2.3651   2.3651   0.1202   4.2494   0.5087 |   6.6927   6.6927   0.0989   4.2390   0.4522
012/140 3.00e-05  19:46:14 |   2.3547   2.3547   0.1232   4.2297   0.4922 |   6.6702   6.6702   0.1037   4.2193   0.4297
013/140 3.00e-05  19:37:08 |   2.3502   2.3502   0.1253   4.2147   0.4849 |   6.6473   6.6473   0.1044   4.2086   0.4561
014/140 3.00e-05  19:28:40 |   2.3366   2.3366   0.1284   4.2004   0.4731 |   6.6234   6.6234   0.1060   4.1937   0.4262
015/140 3.00e-05  19:19:11 |   2.3292   2.3292   0.1315   4.1908   0.4637 |   6.6008   6.6008   0.1056   4.1857   0.4172
016/140 3.00e-05  19:10:27 |   2.3127   2.3127   0.1320   4.1823   0.4553 |   6.5730   6.5730   0.1198   4.1782   0.4150
017/140 3.00e-05  19:00:31 |   2.3033   2.3033   0.1353   4.1763   0.4479 |   6.5505   6.5505   0.1120   4.1730   0.4046
018/140 3.00e-05  18:51:45 |   2.2684   2.2684   0.1373   4.1713   0.4427 |   6.5149   6.5149   0.1167   4.1691   0.4065
019/140 3.00e-05  18:42:41 |   2.2822   2.2822   0.1389   4.1677   0.4397 |   6.4864   6.4864   0.1177   4.1662   0.4031
020/140 3.00e-05  18:33:45 |   2.2748   2.2748   0.1393   4.1649   0.4259 |   6.4510   6.4510   0.1152   4.1637   0.3883
021/140 3.00e-05  18:24:18 |   2.2654   2.2654   0.1407   4.1628   0.4185 |   6.4252   6.4252   0.1310   4.1618   0.3740
022/140 3.00e-05  18:17:37 |   2.2289   2.2289   0.1440   4.1614   0.4157 |   6.3924   6.3924   0.1208   4.1608   0.3792
023/140 3.00e-05  18:08:27 |   2.2427   2.2427   0.1437   4.1604   0.4093 |   6.3506   6.3506   0.1297   4.1600   0.3690
024/140 3.00e-05  17:59:45 |   2.2100   2.2100   0.1451   4.1598   0.3963 |   6.3205   6.3205   0.1332   4.1595   0.3667
025/140 3.00e-05  17:50:33 |   2.1977   2.1977   0.1481   4.1594   0.4013 |   6.2721   6.2721   0.1380   4.1592   0.3643
026/140 3.00e-05  17:41:48 |   2.2139   2.2139   0.1476   4.1592   0.3990 |   6.2386   6.2386   0.1372   4.1591   0.3640
027/140 3.00e-05  17:32:45 |   2.2065   2.2065   0.1483   4.1590   0.3930 |   6.2153   6.2153   0.1491   4.1590   0.3614
028/140 3.00e-05  17:24:13 |   2.1795   2.1795   0.1485   4.1589   0.3785 |   6.1599   6.1599   0.1570   4.1589   0.3574
029/140 3.00e-05  17:15:08 |   2.1389   2.1389   0.1548   4.1589   0.3864 |   6.1379   6.1379   0.1521   4.1589   0.3527
030/140 3.00e-05  17:06:14 |   2.1153   2.1153   0.1554   4.1589   0.3783 |   6.0732   6.0732   0.1449   4.1589   0.3506
031/140 3.00e-05  16:56:46 |   2.1224   2.1224   0.1569   4.1589   0.3725 |   6.0263   6.0263   0.1410   4.1589   0.3438
032/140 3.00e-05  16:47:40 |   2.0918   2.0918   0.1614   4.1589   0.3722 |   5.9798   5.9798   0.1601   4.1589   0.3447
033/140 3.00e-05  16:38:09 |   2.0777   2.0777   0.1624   4.1589   0.3640 |   5.9389   5.9389   0.1645   4.1589   0.3397
034/140 3.00e-05  16:29:08 |   2.0932   2.0932   0.1576   4.1589   0.3633 |   5.8767   5.8767   0.1784   4.1589   0.3400
035/140 3.00e-05  16:19:52 |   2.0636   2.0636   0.1622   4.1589   0.3576 |   5.8268   5.8268   0.1766   4.1589   0.3363
036/140 3.00e-05  16:10:51 |   2.0916   2.0916   0.1607   4.1589   0.3553 |   5.7940   5.7940   0.1931   4.1589   0.3384
037/140 3.00e-05  16:01:33 |   2.0481   2.0481   0.1640   4.1589   0.3564 |   5.7398   5.7398   0.1934   4.1589   0.3278
038/140 3.00e-05  15:52:35 |   2.0494   2.0494   0.1646   4.1589   0.3485 |   5.6809   5.6809   0.1901   4.1589   0.3326
039/140 3.00e-05  15:43:16 |   1.9707   1.9707   0.1759   4.1589   0.3434 |   5.6339   5.6339   0.2076   4.1589   0.3260
040/140 3.00e-05  15:34:18 |   2.0017   2.0017   0.1723   4.1589   0.3359 |   5.5668   5.5668   0.2128   4.1589   0.3211
041/140 3.00e-05  15:26:34 |   1.9453   1.9453   0.1801   4.1589   0.3389 |   5.5278   5.5278   0.2210   4.1589   0.3177
042/140 3.00e-05  15:20:01 |   1.9325   1.9325   0.1845   4.1589   0.3358 |   5.4687   5.4687   0.2467   4.1589   0.3224
043/140 3.00e-05  15:13:04 |   1.8816   1.8816   0.1967   4.1589   0.3339 |   5.3938   5.3938   0.2457   4.1589   0.3133
044/140 3.00e-05  15:06:11 |   1.9054   1.9054   0.1864   4.1589   0.3288 |   5.3350   5.3350   0.2490   4.1589   0.3121
045/140 3.00e-05  14:59:00 |   1.9370   1.9370   0.1852   4.1589   0.3276 |   5.2792   5.2792   0.2697   4.1589   0.3104
046/140 3.00e-05  14:51:53 |   1.8465   1.8465   0.1954   4.1589   0.3209 |   5.1937   5.1937   0.2809   4.1589   0.3103
047/140 3.00e-05  14:44:19 |   1.8092   1.8092   0.2051   4.1589   0.3185 |   5.1398   5.1398   0.2887   4.1589   0.3081
048/140 3.00e-05  14:36:51 |   1.6981   1.6981   0.2340   4.1589   0.3210 |   5.0738   5.0738   0.3097   4.1589   0.3077
049/140 3.00e-05  14:29:04 |   1.7063   1.7063   0.2304   4.1589   0.3167 |   4.9783   4.9783   0.3344   4.1589   0.3042
050/140 3.00e-05  14:21:25 |   1.6824   1.6824   0.2389   4.1589   0.3180 |   4.9038   4.9038   0.3470   4.1589   0.3036
051/140 3.00e-05  14:13:15 |   1.6965   1.6965   0.2361   4.1589   0.3118 |   4.8345   4.8345   0.3651   4.1589   0.2999
052/140 3.00e-05  14:05:31 |   1.5880   1.5880   0.2692   4.1589   0.3117 |   4.7445   4.7445   0.3912   4.1589   0.2999
053/140 3.00e-05  13:57:15 |   1.5947   1.5947   0.2625   4.1589   0.3064 |   4.6749   4.6749   0.4097   4.1589   0.2972
054/140 3.00e-05  13:49:16 |   1.6525   1.6525   0.2444   4.1589   0.3006 |   4.6164   4.6164   0.4217   4.1589   0.2941
055/140 3.00e-05  13:41:04 |   1.6230   1.6230   0.2561   4.1589   0.2983 |   4.5420   4.5420   0.4382   4.1589   0.2868
056/140 3.00e-05  13:32:55 |   1.6866   1.6866   0.2503   4.1589   0.2938 |   4.4824   4.4824   0.4540   4.1589   0.2836
057/140 3.00e-05  13:24:24 |   1.5875   1.5875   0.2702   4.1589   0.2907 |   4.3816   4.3816   0.4924   4.1589   0.2877
058/140 3.00e-05  13:15:58 |   1.6521   1.6521   0.2513   4.1589   0.2934 |   4.2885   4.2885   0.5215   4.1589   0.2884
059/140 3.00e-05  13:07:16 |   1.5431   1.5431   0.2799   4.1589   0.2910 |   4.2031   4.2031   0.5561   4.1589   0.2856
060/140 3.00e-05  12:58:36 |   1.4714   1.4714   0.3088   4.1589   0.2860 |   4.1458   4.1458   0.5836   4.1589   0.2849
061/140 3.00e-05  12:49:53 |   1.5194   1.5194   0.3004   4.1589   0.2867 |   4.0518   4.0518   0.6190   4.1589   0.2833
062/140 3.00e-05  12:41:16 |   1.4207   1.4207   0.3346   4.1589   0.2856 |   3.9913   3.9913   0.6782   4.1589   0.2787
063/140 3.00e-05  12:32:27 |   1.4139   1.4139   0.3368   4.1589   0.2807 |   3.8647   3.8647   0.6992   4.1589   0.2789
064/140 3.00e-05  12:23:49 |   1.4618   1.4618   0.3144   4.1589   0.2793 |   3.7807   3.7807   0.7314   4.1589   0.2790
065/140 3.00e-05  12:14:41 |   1.3090   1.3090   0.3852   4.1589   0.2767 |   3.7084   3.7084   0.7694   4.1589   0.2768
066/140 3.00e-05  12:05:41 |   1.3050   1.3050   0.3933   4.1589   0.2762 |   3.6032   3.6032   0.8247   4.1589   0.2753
