Experiment id: 13C_finetune_commutative_cnn_20260704_051554
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
001/120 8.00e-06  11:29:47 |   3.8185   1.4147   0.7063   0.2103   2.5375   1.1104 |   3.7324   1.3431   0.7098   0.2701   2.4903   1.1208
002/120 8.00e-06  11:15:59 |   3.7134   1.4841   0.7413   0.8515   2.4379   1.1027 |   3.6320   1.4002   0.7393   1.5640   2.3978   1.1086
003/120 8.00e-06  11:09:50 |   3.6552   1.4889   0.7401   1.1578   2.3920   1.0974 |   3.6021   1.3854   0.7274   1.6049   2.3788   1.1098
004/120 8.00e-06  11:03:26 |   3.6296   1.4699   0.7267   1.1659   2.3774   1.0956 |   3.5811   1.3684   0.7161   1.5580   2.3672   1.1119
005/120 8.00e-06  11:02:17 |   3.5968   1.4565   0.7176   1.1959   2.3559   1.0903 |   3.5615   1.3587   0.7091   1.6203   2.3547   1.1134
006/120 8.00e-06  10:58:55 |   3.5648   1.4392   0.7073   1.2735   2.3361   1.0879 |   3.5435   1.3422   0.7019   1.6595   2.3454   1.1132
007/120 8.00e-06  10:53:19 |   3.5460   1.4201   0.6980   1.2974   2.3268   1.0821 |   3.5285   1.3315   0.6947   1.7797   2.3367   1.1141
008/120 8.00e-06  10:48:53 |   3.5099   1.4043   0.6892   1.4232   2.3033   1.0828 |   3.5190   1.3231   0.6888   1.8981   2.3317   1.1175
009/120 8.00e-06  10:42:52 |   3.4994   1.3950   0.6797   1.5069   2.2978   1.0783 |   3.5061   1.3045   0.6845   1.8502   2.3268   1.1152
010/120 8.00e-06  10:36:22 |   3.4827   1.3744   0.6725   1.5190   2.2906   1.0766 |   3.5006   1.2991   0.6798   2.0378   2.3239   1.1217
