metric,value
best_epoch,136.0
best_metric,0.14840053803987385
n_epochs_recorded,140.0
final_train_loss,0.1890087961398155
min_train_loss,0.16206658885913414
min_train_loss_epoch,138.0
final_train_self_probe_loss,0.1890087961398155
min_train_self_probe_loss,0.16206658885913414
min_train_self_probe_loss_epoch,138.0
final_train_cross_probe_loss,2.2471957260703936
min_train_cross_probe_loss,0.10528736092092962
min_train_cross_probe_loss_epoch,5.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.15888255304615
min_train_prototype_alignment_loss_epoch,41.0
final_train_latent_alignment_loss,0.23196502003724698
min_train_latent_alignment_loss,0.229148868540901
min_train_latent_alignment_loss_epoch,132.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.23196502003724698
min_train_feature_alignment_loss,0.229148868540901
min_train_feature_alignment_loss_epoch,132.0
final_train_self_probe_local_loss,0.07632275094389589
min_train_self_probe_local_loss,0.05648499321801798
min_train_self_probe_local_loss_epoch,138.0
final_train_cross_probe_local_loss,0.9104329128427642
min_train_cross_probe_local_loss,0.05162040284056826
min_train_cross_probe_local_loss_epoch,1.0
final_train_self_probe_region_time_loss,0.0739212580307353
min_train_self_probe_region_time_loss,0.05992685556646874
min_train_self_probe_region_time_loss_epoch,125.0
final_train_cross_probe_region_time_loss,1.3204446952098943
min_train_cross_probe_region_time_loss,0.020542296952068086
min_train_cross_probe_region_time_loss_epoch,11.0
final_train_self_probe_derivative_loss,0.001203962271356072
min_train_self_probe_derivative_loss,0.000868195026524367
min_train_self_probe_derivative_loss_epoch,137.0
final_train_cross_probe_derivative_loss,0.0005342613254753583
min_train_cross_probe_derivative_loss,0.000234967697439314
min_train_cross_probe_derivative_loss_epoch,36.0
final_train_self_probe_frequency_loss,0.0029892535609551975
min_train_self_probe_frequency_loss,0.0027302168732668496
min_train_self_probe_frequency_loss_epoch,69.0
final_train_cross_probe_frequency_loss,0.004871906041378272
min_train_cross_probe_frequency_loss,0.0029270634664433194
min_train_cross_probe_frequency_loss_epoch,30.0
final_train_self_probe_correlation_loss,0.7632973877187618
min_train_self_probe_correlation_loss,0.755721390705339
min_train_self_probe_correlation_loss_epoch,47.0
final_train_cross_probe_correlation_loss,0.3139481719513756
min_train_cross_probe_correlation_loss,0.03649485364360029
min_train_cross_probe_correlation_loss_epoch,1.0
final_val_loss,0.16995265860087383
min_val_loss,0.1472822009984936
min_val_loss_epoch,136.0
final_val_self_probe_loss,0.16995265860087383
min_val_self_probe_loss,0.1472822009984936
min_val_self_probe_loss_epoch,136.0
final_val_cross_probe_loss,5.60671447448849
min_val_cross_probe_loss,0.07791610043611585
min_val_cross_probe_loss_epoch,3.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss_epoch,41.0
final_val_latent_alignment_loss,0.25993528499366336
min_val_latent_alignment_loss,0.25506451762981297
min_val_latent_alignment_loss_epoch,138.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.25993528499366336
min_val_feature_alignment_loss,0.25506451762981297
min_val_feature_alignment_loss_epoch,138.0
final_val_self_probe_local_loss,0.06192070740327146
min_val_self_probe_local_loss,0.055302788895375515
min_val_self_probe_local_loss_epoch,136.0
final_val_cross_probe_local_loss,2.175057143991038
min_val_cross_probe_local_loss,0.036127418325924726
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.06850019176288144
min_val_self_probe_region_time_loss,0.05185460749296298
min_val_self_probe_region_time_loss_epoch,135.0
final_val_cross_probe_region_time_loss,3.41520925059984
min_val_cross_probe_region_time_loss,0.014237537476818383
min_val_cross_probe_region_time_loss_epoch,10.0
final_val_self_probe_derivative_loss,0.007166292274926474
min_val_self_probe_derivative_loss,0.007067200592635865
min_val_self_probe_derivative_loss_epoch,139.0
final_val_cross_probe_derivative_loss,0.0018395075100489742
min_val_cross_probe_derivative_loss,7.600654209443362e-05
min_val_cross_probe_derivative_loss_epoch,24.0
final_val_self_probe_frequency_loss,0.007998351749938027
min_val_self_probe_frequency_loss,0.006164043183693003
min_val_self_probe_frequency_loss_epoch,108.0
final_val_cross_probe_frequency_loss,0.00794433086086643
min_val_cross_probe_frequency_loss,0.002179698479182509
min_val_cross_probe_frequency_loss_epoch,20.0
final_val_self_probe_correlation_loss,0.7388071984237765
min_val_self_probe_correlation_loss,0.728256640041837
min_val_self_probe_correlation_loss_epoch,38.0
final_val_cross_probe_correlation_loss,0.30388081036739467
min_val_cross_probe_correlation_loss,0.029236398313356483
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.16995265860087383
min_monitor_metric_raw,0.1472822009984936
min_monitor_metric_raw_epoch,136.0
final_monitor_metric,0.19557966313885977
min_monitor_metric,0.14840053803987385
min_monitor_metric_epoch,136.0
