target,metric,value
action,accuracy,0.4084507042253521
action,macro_precision,0.36887519260400614
action,macro_recall,0.30066666666666664
action,macro_f1,0.2355311355311355
action,weighted_precision,0.3702988346101261
action,weighted_recall,0.4084507042253521
action,weighted_f1,0.28589485631739153
action,n_samples,71.0
action,roc_auc_ovr_macro,0.7005309445860565
action,average_precision_macro,0.4011129407668844
compound,accuracy,0.16901408450704225
compound,macro_precision,0.12690898844744997
compound,macro_recall,0.1887179487179487
compound,macro_f1,0.1297409444900265
compound,weighted_precision,0.1752540886343703
compound,weighted_recall,0.16901408450704225
compound,weighted_f1,0.15087538696068703
compound,n_samples,71.0
compound,roc_auc_ovr_macro,0.7245995994850971
compound,average_precision_macro,0.26740890987846794
concentration,accuracy,0.43661971830985913
concentration,macro_precision,0.4727272727272727
concentration,macro_recall,0.4184126984126985
concentration,macro_f1,0.35310810810810805
concentration,weighted_precision,0.47119078104993595
concentration,weighted_recall,0.43661971830985913
concentration,weighted_f1,0.36398743814236767
concentration,n_samples,71.0
concentration,roc_auc_ovr_macro,0.6397377501725329
concentration,average_precision_macro,0.46349235637955855
