Experiment id: 10C_pretrain_commutative_cnn_20260704_141703
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  23:32:23 |   2.5531   2.5531   0.0905   4.5793   0.3504 |   6.9700   6.9700   0.0642   4.4709   0.2994
002/140 3.00e-05  23:46:31 |   2.5131   2.5131   0.0838   4.5498   0.3940 |   6.9298   6.9298   0.0635   4.4931   0.3487
003/140 3.00e-05  23:34:33 |   2.4835   2.4835   0.0866   4.5330   0.4317 |   6.8959   6.8959   0.0688   4.4595   0.3681
004/140 3.00e-05  23:30:37 |   2.4595   2.4595   0.0923   4.4889   0.4449 |   6.8686   6.8686   0.0726   4.3922   0.3585
005/140 3.00e-05  23:18:01 |   2.4422   2.4422   0.0952   4.4275   0.4336 |   6.8415   6.8415   0.0800   4.3838   0.3562
006/140 3.00e-05  23:09:03 |   2.4229   2.4229   0.1009   4.3852   0.4230 |   6.8120   6.8120   0.0892   4.3291   0.3604
007/140 3.00e-05  22:57:18 |   2.4086   2.4086   0.1060   4.3315   0.4143 |   6.7883   6.7883   0.0965   4.2897   0.3569
008/140 3.00e-05  22:47:42 |   2.3995   2.3995   0.1089   4.2949   0.4090 |   6.7619   6.7619   0.0961   4.2552   0.3454
009/140 3.00e-05  22:35:25 |   2.3924   2.3924   0.1127   4.2655   0.3979 |   6.7383   6.7383   0.0995   4.2371   0.3390
010/140 3.00e-05  22:26:19 |   2.3770   2.3770   0.1156   4.2417   0.3902 |   6.7190   6.7190   0.1106   4.2334   0.3575
011/140 3.00e-05  22:14:29 |   2.3584   2.3584   0.1201   4.2252   0.3912 |   6.6822   6.6822   0.1124   4.2089   0.3320
012/140 3.00e-05  22:06:20 |   2.3378   2.3378   0.1247   4.2085   0.3744 |   6.6516   6.6516   0.1018   4.1968   0.3242
013/140 3.00e-05  21:56:28 |   2.3362   2.3362   0.1269   4.1975   0.3687 |   6.6246   6.6246   0.1131   4.1893   0.3286
014/140 3.00e-05  21:48:00 |   2.3315   2.3315   0.1304   4.1889   0.3636 |   6.5993   6.5993   0.1086   4.1821   0.3151
015/140 3.00e-05  21:38:27 |   2.3114   2.3114   0.1314   4.1821   0.3608 |   6.5663   6.5663   0.1214   4.1773   0.3224
016/140 3.00e-05  21:29:12 |   2.3012   2.3012   0.1341   4.1763   0.3589 |   6.5310   6.5310   0.1301   4.1727   0.3179
017/140 3.00e-05  21:18:49 |   2.2989   2.2989   0.1360   4.1715   0.3476 |   6.5022   6.5022   0.1247   4.1686   0.3062
018/140 3.00e-05  21:09:03 |   2.2851   2.2851   0.1392   4.1681   0.3457 |   6.4757   6.4757   0.1320   4.1659   0.3052
019/140 3.00e-05  20:58:20 |   2.2672   2.2672   0.1397   4.1653   0.3439 |   6.4420   6.4420   0.1286   4.1638   0.3012
020/140 3.00e-05  20:48:32 |   2.2433   2.2433   0.1415   4.1632   0.3336 |   6.3849   6.3849   0.1279   4.1619   0.2873
021/140 3.00e-05  20:38:09 |   2.2543   2.2543   0.1424   4.1617   0.3276 |   6.3570   6.3570   0.1296   4.1608   0.2795
022/140 3.00e-05  20:28:32 |   2.2259   2.2259   0.1436   4.1606   0.3192 |   6.3048   6.3048   0.1509   4.1601   0.2821
023/140 3.00e-05  20:17:53 |   2.2167   2.2167   0.1459   4.1599   0.3114 |   6.2716   6.2716   0.1423   4.1596   0.2814
024/140 3.00e-05  20:25:34 |   2.1801   2.1801   0.1497   4.1595   0.3109 |   6.2241   6.2241   0.1458   4.1593   0.2787
025/140 3.00e-05  20:20:44 |   2.1465   2.1465   0.1527   4.1592   0.3136 |   6.1826   6.1826   0.1564   4.1591   0.2767
026/140 3.00e-05  20:07:42 |   2.1987   2.1987   0.1484   4.1591   0.2971 |   6.1292   6.1292   0.1525   4.1590   0.2672
027/140 3.00e-05  19:52:59 |   2.1232   2.1232   0.1575   4.1590   0.2981 |   6.0772   6.0772   0.1429   4.1589   0.2579
028/140 3.00e-05  19:38:42 |   2.1654   2.1654   0.1500   4.1589   0.2896 |   6.0423   6.0423   0.1635   4.1589   0.2662
029/140 3.00e-05  19:24:00 |   2.1207   2.1207   0.1561   4.1589   0.2855 |   5.9938   5.9938   0.1707   4.1589   0.2576
030/140 3.00e-05  19:10:09 |   2.0960   2.0960   0.1613   4.1589   0.2875 |   5.9463   5.9463   0.1842   4.1589   0.2625
031/140 3.00e-05  18:56:24 |   2.0668   2.0668   0.1609   4.1589   0.2829 |   5.8876   5.8876   0.1920   4.1589   0.2608
032/140 3.00e-05  18:43:10 |   2.1014   2.1014   0.1601   4.1589   0.2775 |   5.8345   5.8345   0.2076   4.1589   0.2579
033/140 3.00e-05  18:29:46 |   2.0328   2.0328   0.1688   4.1589   0.2735 |   5.7537   5.7537   0.2034   4.1589   0.2480
034/140 3.00e-05  18:16:52 |   1.9792   1.9792   0.1765   4.1589   0.2748 |   5.7111   5.7111   0.2075   4.1589   0.2515
035/140 3.00e-05  18:03:57 |   1.9714   1.9714   0.1760   4.1589   0.2712 |   5.6565   5.6565   0.2240   4.1589   0.2439
036/140 3.00e-05  17:51:23 |   1.9563   1.9563   0.1813   4.1589   0.2642 |   5.5719   5.5719   0.2318   4.1589   0.2447
037/140 3.00e-05  17:38:41 |   1.9166   1.9166   0.1859   4.1589   0.2641 |   5.4991   5.4991   0.2431   4.1589   0.2418
038/140 3.00e-05  17:26:29 |   1.8740   1.8740   0.1956   4.1589   0.2617 |   5.4383   5.4383   0.2632   4.1589   0.2401
039/140 3.00e-05  17:13:59 |   1.8891   1.8891   0.1899   4.1589   0.2572 |   5.3655   5.3655   0.2630   4.1589   0.2414
040/140 3.00e-05  17:01:59 |   1.8195   1.8195   0.2091   4.1589   0.2556 |   5.2794   5.2794   0.2874   4.1589   0.2359
041/140 3.00e-05  16:49:43 |   1.8360   1.8360   0.2025   4.1589   0.2560 |   5.1979   5.1979   0.2972   4.1589   0.2340
