Experiment id: 13C_finetune_commutative_cnn_20260705_131931
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/13C/runs/13C_finetune_commutative_cnn_20260705_131931
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/13C/runs/13C_finetune_commutative_cnn_20260705_131931/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
001/120 8.00e-06   9:31:39 |   4.4965   1.6083   0.0000   0.1329   2.5521   1.1039 |   4.4831   1.6261   0.0000   0.1341   2.5411   1.0818
002/120 8.00e-06   9:21:13 |   4.4491   1.6083   0.0000   0.1876   2.5225   1.0967 |   4.3928   1.6682   0.0000   0.4185   2.4781   1.0805
003/120 8.00e-06   9:15:16 |   4.3563   1.6124   0.0000   0.5315   2.4639   1.0916 |   4.3170   1.6871   0.0000   1.0143   2.4278   1.0813
004/120 8.00e-06   9:10:43 |   4.3067   1.5982   0.0000   0.7450   2.4351   1.0874 |   4.2837   1.6856   0.0000   1.1044   2.4072   1.0791
005/120 8.00e-06   9:04:17 |   4.2471   1.5890   0.0000   0.8737   2.3994   1.0853 |   4.2505   1.6780   0.0000   1.1972   2.3876   1.0831
006/120 8.00e-06   8:58:21 |   4.2102   1.5832   0.0000   0.9836   2.3772   1.0863 |   4.2285   1.6705   0.0000   1.3047   2.3750   1.0868
007/120 8.00e-06   8:53:39 |   4.1451   1.5722   0.0000   1.1402   2.3383   1.0839 |   4.2153   1.6654   0.0000   1.4552   2.3675   1.0915
008/120 8.00e-06   8:48:57 |   4.1184   1.5654   0.0000   1.2086   2.3226   1.0821 |   4.2229   1.6879   0.0000   1.7219   2.3688   1.0938
009/120 8.00e-06   8:43:56 |   4.0918   1.5626   0.0000   1.3042   2.3065   1.0812 |   4.1922   1.6482   0.0000   1.6334   2.3557   1.0979
010/120 8.00e-06   8:39:38 |   4.0669   1.5527   0.0000   1.3376   2.2924   1.0823 |   4.1815   1.6384   0.0000   1.6674   2.3506   1.1006
011/120 8.00e-06   8:34:40 |   4.0425   1.5440   0.0000   1.3683   2.2785   1.0815 |   4.1668   1.6258   0.0000   1.6971   2.3433   1.0993
012/120 8.00e-06   8:29:45 |   4.0343   1.5405   0.0000   1.3374   2.2740   1.0780 |   4.1494   1.6094   0.0000   1.6899   2.3350   1.0994
013/120 8.00e-06   8:24:44 |   4.0068   1.5277   0.0000   1.3800   2.2588   1.0773 |   4.1479   1.6141   0.0000   1.7561   2.3333   1.1036
014/120 8.00e-06   8:20:17 |   3.9820   1.5245   0.0000   1.4129   2.2438   1.0776 |   4.1317   1.6027   0.0000   1.7880   2.3250   1.1031
015/120 8.00e-06   8:15:27 |   3.9556   1.5186   0.0000   1.4482   2.2283   1.0774 |   4.1222   1.5949   0.0000   1.8007   2.3202   1.1048
016/120 8.00e-06   8:10:31 |   3.9537   1.5163   0.0000   1.4509   2.2274   1.0783 |   4.1036   1.5761   0.0000   1.7647   2.3116   1.1048
017/120 8.00e-06   8:06:01 |   3.9323   1.5061   0.0000   1.4667   2.2156   1.0762 |   4.0935   1.5732   0.0000   1.8040   2.3057   1.1051
018/120 8.00e-06   8:01:29 |   3.9149   1.5001   0.0000   1.4710   2.2057   1.0739 |   4.0775   1.5633   0.0000   1.7987   2.2973   1.1056
019/120 8.00e-06   7:56:28 |   3.9044   1.4954   0.0000   1.4786   2.1999   1.0738 |   4.0620   1.5464   0.0000   1.7620   2.2902   1.1089
020/120 8.00e-06   7:51:46 |   3.8978   1.4890   0.0000   1.5038   2.1968   1.0717 |   4.0624   1.5566   0.0000   1.8570   2.2889   1.1097
021/120 8.00e-06   7:47:00 |   3.8751   1.4885   0.0000   1.5225   2.1826   1.0727 |   4.0498   1.5484   0.0000   1.8769   2.2823   1.1120
022/120 8.00e-06   7:42:49 |   3.8585   1.4817   0.0000   1.5130   2.1733   1.0720 |   4.0328   1.5373   0.0000   1.8651   2.2733   1.1132
023/120 8.00e-06   7:38:21 |   3.8356   1.4737   0.0000   1.5435   2.1603   1.0732 |   4.0232   1.5421   0.0000   1.9430   2.2666   1.1131
024/120 8.00e-06   7:34:23 |   3.8323   1.4706   0.0000   1.5415   2.1587   1.0707 |   4.0087   1.5190   0.0000   1.8513   2.2611   1.1182
025/120 8.00e-06   7:31:08 |   3.8112   1.4641   0.0000   1.5457   2.1466   1.0705 |   4.0015   1.5285   0.0000   1.9735   2.2551   1.1201
026/120 8.00e-06   7:27:31 |   3.8083   1.4610   0.0000   1.6337   2.1452   1.0713 |   3.9818   1.5145   0.0000   1.9318   2.2450   1.1203
027/120 8.00e-06   7:23:36 |   3.7967   1.4564   0.0000   1.6222   2.1387   1.0711 |   3.9712   1.5107   0.0000   1.9586   2.2389   1.1232
028/120 8.00e-06   7:19:17 |   3.7754   1.4520   0.0000   1.6603   2.1260   1.0714 |   3.9511   1.5019   0.0000   1.9657   2.2277   1.1247
029/120 8.00e-06   7:14:56 |   3.7774   1.4505   0.0000   1.6238   2.1275   1.0731 |   3.9480   1.5042   0.0000   2.0068   2.2254   1.1268
030/120 8.00e-06   7:10:43 |   3.7637   1.4474   0.0000   1.6627   2.1195   1.0704 |   3.9418   1.5041   0.0000   2.0360   2.2215   1.1299
031/120 8.00e-06   7:06:20 |   3.7520   1.4428   0.0000   1.6708   2.1128   1.0715 |   3.9170   1.4875   0.0000   1.9925   2.2086   1.1289
032/120 8.00e-06   7:02:07 |   3.7127   1.4316   0.0000   1.6915   2.0901   1.0698 |   3.9033   1.4829   0.0000   1.9807   2.2008   1.1294
033/120 8.00e-06   6:57:24 |   3.7126   1.4341   0.0000   1.6740   2.0896   1.0714 |   3.8974   1.4860   0.0000   2.0322   2.1966   1.1307
034/120 8.00e-06   6:52:52 |   3.7181   1.4296   0.0000   1.6995   2.0938   1.0699 |   3.8841   1.4837   0.0000   2.0640   2.1887   1.1335
035/120 8.00e-06   6:48:06 |   3.6757   1.4189   0.0000   1.7148   2.0689   1.0711 |   3.8904   1.4885   0.0000   2.0751   2.1918   1.1369
036/120 8.00e-06   6:43:17 |   3.6779   1.4277   0.0000   1.7672   2.0689   1.0699 |   3.8816   1.4841   0.0000   2.0552   2.1870   1.1348
037/120 8.00e-06   6:38:33 |   3.6797   1.4198   0.0000   1.7553   2.0713   1.0732 |   3.8542   1.4717   0.0000   2.0300   2.1718   1.1338
038/120 8.00e-06   6:33:40 |   3.6739   1.4171   0.0000   1.7204   2.0680   1.0723 |   3.8543   1.4730   0.0000   2.0441   2.1717   1.1363
039/120 8.00e-06   6:28:52 |   3.6588   1.4173   0.0000   1.7100   2.0586   1.0688 |   3.8446   1.4697   0.0000   2.0493   2.1661   1.1373
040/120 8.00e-06   6:24:05 |   3.6467   1.4131   0.0000   1.7270   2.0517   1.0713 |   3.8338   1.4679   0.0000   2.0642   2.1597   1.1365
041/120 8.00e-06   6:19:20 |   3.6418   1.4093   0.0000   1.7260   2.0492   1.0707 |   3.8300   1.4710   0.0000   2.0641   2.1568   1.1390
042/120 8.00e-06   6:14:34 |   3.6202   1.4042   0.0000   1.7355   2.0365   1.0708 |   3.8160   1.4622   0.0000   2.0511   2.1494   1.1382
043/120 8.00e-06   6:09:47 |   3.6128   1.4040   0.0000   1.7301   2.0319   1.0716 |   3.8054   1.4563   0.0000   2.0198   2.1437   1.1379
044/120 8.00e-06   6:05:01 |   3.6256   1.4049   0.0000   1.7152   2.0398   1.0716 |   3.7965   1.4573   0.0000   2.0286   2.1380   1.1363
045/120 8.00e-06   6:00:16 |   3.6031   1.3985   0.0000   1.7251   2.0267   1.0710 |   3.7853   1.4492   0.0000   2.0072   2.1322   1.1376
046/120 8.00e-06   5:55:26 |   3.5925   1.3970   0.0000   1.6903   2.0203   1.0722 |   3.7954   1.4634   0.0000   2.0377   2.1363   1.1414
