metric,value
best_epoch,133.0
best_metric,0.13918636260288103
n_epochs_recorded,140.0
final_train_loss,0.19103459403753018
min_train_loss,0.13634833595362766
min_train_loss_epoch,125.0
final_train_self_probe_loss,0.19103459403753018
min_train_self_probe_loss,0.13634833595362766
min_train_self_probe_loss_epoch,125.0
final_train_cross_probe_loss,1.8284629024278973
min_train_cross_probe_loss,0.08384001884777119
min_train_cross_probe_loss_epoch,2.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.158882502797668
min_train_prototype_alignment_loss_epoch,41.0
final_train_latent_alignment_loss,0.15424548428092646
min_train_latent_alignment_loss,0.15294430911148418
min_train_latent_alignment_loss_epoch,132.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.15424548428092646
min_train_feature_alignment_loss,0.15294430911148418
min_train_feature_alignment_loss_epoch,132.0
final_train_self_probe_local_loss,0.06529500850289242
min_train_self_probe_local_loss,0.0482981678642308
min_train_self_probe_local_loss_epoch,131.0
final_train_cross_probe_local_loss,0.7453387579691528
min_train_cross_probe_local_loss,0.03593878946895788
min_train_cross_probe_local_loss_epoch,1.0
final_train_self_probe_region_time_loss,0.08707944990128573
min_train_self_probe_region_time_loss,0.03839781076333493
min_train_self_probe_region_time_loss_epoch,125.0
final_train_cross_probe_region_time_loss,1.067122261701346
min_train_cross_probe_region_time_loss,0.017667876055584782
min_train_cross_probe_region_time_loss_epoch,8.0
final_train_self_probe_derivative_loss,0.0008343979148920033
min_train_self_probe_derivative_loss,0.0008343979148920033
min_train_self_probe_derivative_loss_epoch,140.0
final_train_cross_probe_derivative_loss,0.00069781707868083
min_train_cross_probe_derivative_loss,0.00022613529076492546
min_train_cross_probe_derivative_loss_epoch,31.0
final_train_self_probe_frequency_loss,0.0027758194898836863
min_train_self_probe_frequency_loss,0.002729263996350672
min_train_self_probe_frequency_loss_epoch,130.0
final_train_cross_probe_frequency_loss,0.0038614022999421235
min_train_cross_probe_frequency_loss,0.002907242327437835
min_train_cross_probe_frequency_loss_epoch,22.0
final_train_self_probe_correlation_loss,0.763479066339989
min_train_self_probe_correlation_loss,0.755011836338776
min_train_self_probe_correlation_loss_epoch,54.0
final_train_cross_probe_correlation_loss,0.30882560703024253
min_train_cross_probe_correlation_loss,0.05310343558011672
min_train_cross_probe_correlation_loss_epoch,1.0
final_val_loss,0.13827127040080403
min_val_loss,0.13827127040080403
min_val_loss_epoch,140.0
final_val_self_probe_loss,0.13827127040080403
min_val_self_probe_loss,0.13827127040080403
min_val_self_probe_loss_epoch,140.0
final_val_cross_probe_loss,6.097757171399845
min_val_cross_probe_loss,0.06349923216408083
min_val_cross_probe_loss_epoch,2.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.1588824047064925
min_val_prototype_alignment_loss_epoch,40.0
final_val_latent_alignment_loss,0.17771214033876145
min_val_latent_alignment_loss,0.1757707212652479
min_val_latent_alignment_loss_epoch,131.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.17771214033876145
min_val_feature_alignment_loss,0.1757707212652479
min_val_feature_alignment_loss_epoch,131.0
final_val_self_probe_local_loss,0.05279414725970037
min_val_self_probe_local_loss,0.05279414725970037
min_val_self_probe_local_loss_epoch,140.0
final_val_cross_probe_local_loss,2.40844952763978
min_val_cross_probe_local_loss,0.02694319527573097
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.046031189518431145
min_val_self_probe_region_time_loss,0.046031189518431145
min_val_self_probe_region_time_loss_epoch,140.0
final_val_cross_probe_region_time_loss,3.672589403606072
min_val_cross_probe_region_time_loss,0.011567439993855006
min_val_cross_probe_region_time_loss_epoch,5.0
final_val_self_probe_derivative_loss,0.007441022861401857
min_val_self_probe_derivative_loss,0.0071522046812601756
min_val_self_probe_derivative_loss_epoch,81.0
final_val_cross_probe_derivative_loss,0.0018989495692836296
min_val_cross_probe_derivative_loss,8.947341300441192e-05
min_val_cross_probe_derivative_loss_epoch,24.0
final_val_self_probe_frequency_loss,0.006808089727596583
min_val_self_probe_frequency_loss,0.006039820874676756
min_val_self_probe_frequency_loss_epoch,96.0
final_val_cross_probe_frequency_loss,0.009638401250187192
min_val_cross_probe_frequency_loss,0.002204694255162609
min_val_cross_probe_frequency_loss_epoch,14.0
final_val_self_probe_correlation_loss,0.7380974048413105
min_val_self_probe_correlation_loss,0.7298385373183659
min_val_self_probe_correlation_loss_epoch,74.0
final_val_cross_probe_correlation_loss,0.3055900838804541
min_val_cross_probe_correlation_loss,0.05028074142170248
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.13827127040080403
min_monitor_metric_raw,0.13827127040080403
min_monitor_metric_raw_epoch,140.0
final_monitor_metric,0.14480349654042574
min_monitor_metric,0.13918636260288103
min_monitor_metric_epoch,133.0
