target,metric,value
action,accuracy,0.39436619718309857
action,macro_precision,0.4088479262672811
action,macro_recall,0.3893333333333333
action,macro_f1,0.3914632735685367
action,weighted_precision,0.393846952683845
action,weighted_recall,0.39436619718309857
action,weighted_f1,0.3867496476836728
action,n_samples,71.0
action,roc_auc_ovr_macro,0.6724997765079671
action,average_precision_macro,0.4455749774466657
compound,accuracy,0.2535211267605634
compound,macro_precision,0.22007404360345537
compound,macro_recall,0.38461538461538464
compound,macro_f1,0.25280931819393354
compound,weighted_precision,0.16698049258115538
compound,weighted_recall,0.2535211267605634
compound,weighted_f1,0.18025387250739364
compound,n_samples,71.0
compound,roc_auc_ovr_macro,0.8123965359835292
compound,average_precision_macro,0.4451114703535651
concentration,accuracy,0.5211267605633803
concentration,macro_precision,0.5572390572390572
concentration,macro_recall,0.5136507936507936
concentration,macro_f1,0.49385550878088197
concentration,weighted_precision,0.5635936833119932
concentration,weighted_recall,0.5211267605633803
concentration,weighted_f1,0.4985653171484578
concentration,n_samples,71.0
concentration,roc_auc_ovr_macro,0.6075776397515528
concentration,average_precision_macro,0.457021144478482
