Experiment id: 10C_pretrain_commutative_cnn_20260725_174329
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329/10C_pretrain_commutative_cnn_20260725_174329_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
001/140 3.00e-05  46:25:07 |   2.5565   2.5565   0.1084   4.4155   0.3457 |   6.9721   6.9721   0.0762   4.2667   0.2588
002/140 3.00e-05  46:37:30 |   2.5147   2.5147   0.1007   4.3941   0.3704 |   6.9339   6.9339   0.0843   4.3230   0.3308
003/140 3.00e-05  45:12:19 |   2.4876   2.4876   0.1058   4.4075   0.4200 |   6.9031   6.9031   0.0892   4.3599   0.3714
004/140 3.00e-05  43:55:48 |   2.4666   2.4666   0.1082   4.3956   0.4438 |   6.8766   6.8766   0.0904   4.3580   0.3875
005/140 3.00e-05  43:21:57 |   2.4480   2.4480   0.1112   4.3811   0.4615 |   6.8500   6.8500   0.0928   4.3499   0.4094
006/140 3.00e-05  42:50:40 |   2.4292   2.4292   0.1141   4.3491   0.4652 |   6.8258   6.8258   0.0904   4.3159   0.4035
007/140 3.00e-05  42:19:17 |   2.4115   2.4115   0.1167   4.3201   0.4650 |   6.7973   6.7973   0.0945   4.2883   0.4116
008/140 3.00e-05  42:01:37 |   2.4027   2.4027   0.1203   4.2981   0.4715 |   6.7756   6.7756   0.0907   4.2723   0.4131
009/140 3.00e-05  41:43:11 |   2.3916   2.3916   0.1214   4.2727   0.4705 |   6.7477   6.7477   0.1027   4.2496   0.4187
010/140 3.00e-05  41:10:49 |   2.3739   2.3739   0.1234   4.2520   0.4651 |   6.7198   6.7198   0.1065   4.2362   0.4163
011/140 3.00e-05  40:42:36 |   2.3713   2.3713   0.1258   4.2334   0.4562 |   6.6937   6.6937   0.1034   4.2171   0.4005
012/140 3.00e-05  40:25:36 |   2.3497   2.3497   0.1288   4.2192   0.4519 |   6.6655   6.6655   0.1059   4.2062   0.4021
013/140 3.00e-05  40:10:23 |   2.3487   2.3487   0.1299   4.2057   0.4441 |   6.6464   6.6464   0.1063   4.1947   0.3873
014/140 3.00e-05  39:51:38 |   2.3203   2.3203   0.1322   4.1941   0.4364 |   6.6073   6.6073   0.1086   4.1870   0.3881
015/140 3.00e-05  39:33:50 |   2.3059   2.3059   0.1348   4.1846   0.4298 |   6.5776   6.5776   0.1100   4.1801   0.3907
016/140 3.00e-05  39:14:46 |   2.2892   2.2892   0.1375   4.1792   0.4262 |   6.5331   6.5331   0.1150   4.1741   0.3727
017/140 3.00e-05  38:52:53 |   2.2781   2.2781   0.1382   4.1731   0.4127 |   6.4985   6.4985   0.1104   4.1703   0.3773
018/140 3.00e-05  38:35:34 |   2.2618   2.2618   0.1413   4.1692   0.4119 |   6.4599   6.4599   0.1223   4.1668   0.3665
019/140 3.00e-05  38:15:37 |   2.2478   2.2478   0.1433   4.1662   0.4063 |   6.4221   6.4221   0.1185   4.1643   0.3639
020/140 3.00e-05  37:56:28 |   2.2574   2.2574   0.1415   4.1637   0.3970 |   6.3871   6.3871   0.1297   4.1626   0.3644
021/140 3.00e-05  37:37:40 |   2.2386   2.2386   0.1440   4.1621   0.3908 |   6.3432   6.3432   0.1315   4.1612   0.3456
022/140 3.00e-05  37:17:29 |   2.2243   2.2243   0.1448   4.1609   0.3854 |   6.3063   6.3063   0.1333   4.1603   0.3404
023/140 3.00e-05  36:57:58 |   2.2254   2.2254   0.1458   4.1601   0.3779 |   6.2649   6.2649   0.1369   4.1598   0.3393
024/140 3.00e-05  36:41:56 |   2.2316   2.2316   0.1460   4.1597   0.3766 |   6.2289   6.2289   0.1385   4.1594   0.3412
025/140 3.00e-05  36:21:00 |   2.1752   2.1752   0.1518   4.1593   0.3743 |   6.1785   6.1785   0.1440   4.1592   0.3504
026/140 3.00e-05  36:04:13 |   2.1619   2.1619   0.1515   4.1591   0.3714 |   6.1266   6.1266   0.1509   4.1590   0.3322
027/140 3.00e-05  35:47:04 |   2.1207   2.1207   0.1566   4.1590   0.3636 |   6.0866   6.0866   0.1461   4.1590   0.3244
028/140 3.00e-05  35:29:05 |   2.1211   2.1211   0.1569   4.1589   0.3554 |   6.0186   6.0186   0.1548   4.1589   0.3237
029/140 3.00e-05  35:09:58 |   2.1115   2.1115   0.1589   4.1589   0.3554 |   5.9718   5.9718   0.1700   4.1589   0.3276
030/140 3.00e-05  34:51:24 |   2.1368   2.1368   0.1559   4.1589   0.3475 |   5.9152   5.9152   0.1713   4.1589   0.3176
031/140 3.00e-05  34:32:58 |   2.0824   2.0824   0.1624   4.1589   0.3463 |   5.8517   5.8517   0.1773   4.1589   0.3141
032/140 3.00e-05  34:16:16 |   2.0614   2.0614   0.1620   4.1589   0.3349 |   5.8016   5.8016   0.1940   4.1589   0.3124
033/140 3.00e-05  33:58:38 |   2.0858   2.0858   0.1623   4.1589   0.3390 |   5.7728   5.7728   0.1956   4.1589   0.3049
034/140 3.00e-05  33:41:21 |   1.9663   1.9663   0.1804   4.1589   0.3317 |   5.6783   5.6783   0.2082   4.1589   0.3083
035/140 3.00e-05  33:22:58 |   2.0098   2.0098   0.1722   4.1589   0.3281 |   5.6267   5.6267   0.2135   4.1589   0.3036
036/140 3.00e-05  33:04:12 |   2.0015   2.0015   0.1721   4.1589   0.3237 |   5.5640   5.5640   0.2073   4.1589   0.2944
037/140 3.00e-05  32:44:44 |   1.9463   1.9463   0.1799   4.1589   0.3172 |   5.4968   5.4968   0.2214   4.1589   0.2943
038/140 3.00e-05  32:24:40 |   1.9098   1.9098   0.1864   4.1589   0.3150 |   5.4213   5.4213   0.2413   4.1589   0.2970
039/140 3.00e-05  32:06:28 |   1.8817   1.8817   0.1913   4.1589   0.3137 |   5.3586   5.3586   0.2541   4.1589   0.2971
040/140 3.00e-05  31:47:50 |   1.8451   1.8451   0.2070   4.1589   0.3123 |   5.2771   5.2771   0.2691   4.1589   0.2950
041/140 3.00e-05  31:29:36 |   1.8063   1.8063   0.2127   4.1589   0.3080 |   5.1756   5.1756   0.2971   4.1589   0.2894
042/140 3.00e-05  31:11:31 |   1.7944   1.7944   0.2195   4.1589   0.3069 |   5.1033   5.1033   0.3117   4.1589   0.2895
