metric,value
best_epoch,140.0
best_metric,0.12370811761443659
n_epochs_recorded,140.0
final_train_loss,0.1770734967158864
min_train_loss,0.13044470651678405
min_train_loss_epoch,134.0
final_train_self_probe_loss,0.1770734967158864
min_train_self_probe_loss,0.13044470651678405
min_train_self_probe_loss_epoch,134.0
final_train_cross_probe_loss,2.0347241158019567
min_train_cross_probe_loss,0.10066867105327505
min_train_cross_probe_loss_epoch,2.0
final_train_lambda_cross,0.0
min_train_lambda_cross,0.0
min_train_lambda_cross_epoch,1.0
final_train_lambda_proto,0.0
min_train_lambda_proto,0.0
min_train_lambda_proto_epoch,1.0
final_train_prototype_alignment_loss,4.1588826179504395
min_train_prototype_alignment_loss,4.158882534202969
min_train_prototype_alignment_loss_epoch,41.0
final_train_latent_alignment_loss,0.21596888445407708
min_train_latent_alignment_loss,0.21596888445407708
min_train_latent_alignment_loss_epoch,140.0
final_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight,0.0
min_train_latent_alignment_weight_epoch,1.0
final_train_feature_alignment_loss,0.21596888445407708
min_train_feature_alignment_loss,0.21596888445407708
min_train_feature_alignment_loss_epoch,140.0
final_train_self_probe_local_loss,0.06395931847794258
min_train_self_probe_local_loss,0.051529577024420056
min_train_self_probe_local_loss_epoch,131.0
final_train_cross_probe_local_loss,0.8228671976521562
min_train_cross_probe_local_loss,0.0457836468790941
min_train_cross_probe_local_loss_epoch,1.0
final_train_self_probe_region_time_loss,0.07448728752151769
min_train_self_probe_region_time_loss,0.03814154438332999
min_train_self_probe_region_time_loss_epoch,134.0
final_train_cross_probe_region_time_loss,1.195911804815237
min_train_cross_probe_region_time_loss,0.019461748706489704
min_train_cross_probe_region_time_loss_epoch,10.0
final_train_self_probe_derivative_loss,0.0010314874721164013
min_train_self_probe_derivative_loss,0.0008630123025580267
min_train_self_probe_derivative_loss_epoch,104.0
final_train_cross_probe_derivative_loss,0.0006115646237758902
min_train_cross_probe_derivative_loss,0.00022779537051471164
min_train_cross_probe_derivative_loss_epoch,33.0
final_train_self_probe_frequency_loss,0.002941302278638295
min_train_self_probe_frequency_loss,0.0026534593308985472
min_train_self_probe_frequency_loss_epoch,131.0
final_train_cross_probe_frequency_loss,0.00421090133188642
min_train_cross_probe_frequency_loss,0.0027901384106435445
min_train_cross_probe_frequency_loss_epoch,24.0
final_train_self_probe_correlation_loss,0.7614978667017396
min_train_self_probe_correlation_loss,0.7566765676999851
min_train_self_probe_correlation_loss_epoch,53.0
final_train_cross_probe_correlation_loss,0.30742499068722895
min_train_cross_probe_correlation_loss,0.039413470803513616
min_train_cross_probe_correlation_loss_epoch,1.0
final_val_loss,0.12259640457883755
min_val_loss,0.12259640457883755
min_val_loss_epoch,140.0
final_val_self_probe_loss,0.12259640457883755
min_val_self_probe_loss,0.12259640457883755
min_val_self_probe_loss_epoch,140.0
final_val_cross_probe_loss,5.98619972845042
min_val_cross_probe_loss,0.07620803872991053
min_val_cross_probe_loss_epoch,1.0
final_val_lambda_cross,0.0
min_val_lambda_cross,0.0
min_val_lambda_cross_epoch,1.0
final_val_lambda_proto,0.0
min_val_lambda_proto,0.0
min_val_lambda_proto_epoch,1.0
final_val_prototype_alignment_loss,4.1588826179504395
min_val_prototype_alignment_loss,4.158882594256667
min_val_prototype_alignment_loss_epoch,40.0
final_val_latent_alignment_loss,0.24998501313399085
min_val_latent_alignment_loss,0.24532263693602188
min_val_latent_alignment_loss_epoch,136.0
final_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight,0.0
min_val_latent_alignment_weight_epoch,1.0
final_val_feature_alignment_loss,0.24998501313399085
min_val_feature_alignment_loss,0.24532263693602188
min_val_feature_alignment_loss_epoch,136.0
final_val_self_probe_local_loss,0.043560609792688894
min_val_self_probe_local_loss,0.043560609792688894
min_val_self_probe_local_loss_epoch,140.0
final_val_cross_probe_local_loss,2.2910950758627484
min_val_cross_probe_local_loss,0.03759558730243896
min_val_cross_probe_local_loss_epoch,1.0
final_val_self_probe_region_time_loss,0.03939014576919238
min_val_self_probe_region_time_loss,0.036953211646318804
min_val_self_probe_region_time_loss_epoch,132.0
final_val_cross_probe_region_time_loss,3.678546186568366
min_val_cross_probe_region_time_loss,0.013270887592518182
min_val_cross_probe_region_time_loss_epoch,8.0
final_val_self_probe_derivative_loss,0.007461836648600968
min_val_self_probe_derivative_loss,0.007071525560130122
min_val_self_probe_derivative_loss_epoch,128.0
final_val_cross_probe_derivative_loss,0.0016647778566716935
min_val_cross_probe_derivative_loss,9.121880875173696e-05
min_val_cross_probe_derivative_loss_epoch,24.0
final_val_self_probe_frequency_loss,0.007279132669994041
min_val_self_probe_frequency_loss,0.006338606037558143
min_val_self_probe_frequency_loss_epoch,96.0
final_val_cross_probe_frequency_loss,0.0088520368592964
min_val_cross_probe_frequency_loss,0.002121934317983687
min_val_cross_probe_frequency_loss_epoch,17.0
final_val_self_probe_correlation_loss,0.7410453321030421
min_val_self_probe_correlation_loss,0.7305619139108599
min_val_self_probe_correlation_loss_epoch,44.0
final_val_cross_probe_correlation_loss,0.30513443191599404
min_val_cross_probe_correlation_loss,0.028918936489994482
min_val_cross_probe_correlation_loss_epoch,1.0
final_monitor_metric_raw,0.12259640457883755
min_monitor_metric_raw,0.12259640457883755
min_monitor_metric_raw_epoch,140.0
final_monitor_metric,0.12370811761443659
min_monitor_metric,0.12370811761443659
min_monitor_metric_epoch,140.0
