target,metric,value
action,accuracy,0.5211267605633803
action,macro_precision,0.47549206349206347
action,macro_recall,0.44399999999999995
action,macro_f1,0.42483384932920537
action,weighted_precision,0.46101050748938066
action,weighted_recall,0.5211267605633803
action,weighted_f1,0.4475937150249277
action,n_samples,71.0
action,roc_auc_ovr_macro,0.7064200603227145
action,average_precision_macro,0.47903261758440924
compound,accuracy,0.3380281690140845
compound,macro_precision,0.24807692307692308
compound,macro_recall,0.37358974358974356
compound,macro_f1,0.25011194192432884
compound,weighted_precision,0.3306338028169014
compound,weighted_recall,0.3380281690140845
compound,weighted_f1,0.30836239319670705
compound,n_samples,71.0
compound,roc_auc_ovr_macro,0.7873719560204654
compound,average_precision_macro,0.3877337076147077
concentration,accuracy,0.4788732394366197
concentration,macro_precision,0.5603841536614645
concentration,macro_recall,0.4711111111111111
concentration,macro_f1,0.41890311363995575
concentration,weighted_precision,0.5687570802969074
concentration,weighted_recall,0.4788732394366197
concentration,weighted_f1,0.42174717341507556
concentration,n_samples,71.0
concentration,roc_auc_ovr_macro,0.6433402346445826
concentration,average_precision_macro,0.4854517232723273
