embed_x,embed_y,label,label_name,method,umap_n_neighbors,umap_min_dist,original_instance_id,compound_label,compound_label_name,concentration_label_id,concentration_label_name,mechanism_of_action,compound,concentration_band,concentration_label,image_condition_dir,is_control,dataset_split
10.561972,11.918461,1,GABAAR_Antagonist,umap,15,0.1,1,1,Bemegride,1,high,GABAAR_Antagonist,Bemegride,high,1 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17/1mM F2,False,train
13.574724,10.551323,1,GABAAR_Antagonist,umap,15,0.1,4,1,Bemegride,1,high,GABAAR_Antagonist,Bemegride,high,1 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/1mM F2.1,False,train
12.785624,9.790256,1,GABAAR_Antagonist,umap,15,0.1,5,1,Bemegride,1,high,GABAAR_Antagonist,Bemegride,high,1 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/1mM F2.2,False,train
13.288309,9.717153,1,GABAAR_Antagonist,umap,15,0.1,6,1,Bemegride,1,high,GABAAR_Antagonist,Bemegride,high,1 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/1mM F2.3,False,train
12.444872,9.498382,1,GABAAR_Antagonist,umap,15,0.1,8,1,Bemegride,2,mid,GABAAR_Antagonist,Bemegride,mid,0.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17/0.5mM F1,False,train
11.865129,11.660561,1,GABAAR_Antagonist,umap,15,0.1,12,1,Bemegride,2,mid,GABAAR_Antagonist,Bemegride,mid,0.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/0.5mM F2.1,False,train
10.586635,11.933662,1,GABAAR_Antagonist,umap,15,0.1,14,1,Bemegride,2,mid,GABAAR_Antagonist,Bemegride,mid,0.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/0.5mM F2.4,False,train
6.438452,7.529274,1,GABAAR_Antagonist,umap,15,0.1,15,1,Bemegride,2,mid,GABAAR_Antagonist,Bemegride,mid,0.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/0.5mM F2.5,False,train
9.153007,1.2129097,0,Water,umap,15,0.1,16,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17/Water F1,True,train
13.28675,11.156976,0,Water,umap,15,0.1,18,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17/Water F3,True,train
13.384603,9.480791,0,Water,umap,15,0.1,19,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17/Water F4,True,train
13.297711,9.976787,0,Water,umap,15,0.1,20,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/Water F2.1,True,train
13.163108,7.695307,0,Water,umap,15,0.1,21,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/Water F2.2,True,train
12.175454,11.616936,0,Water,umap,15,0.1,22,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/Water F2.3,True,train
11.469054,8.153054,0,Water,umap,15,0.1,23,0,Control,0,control,GABAAR_Antagonist,Bemegride,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17/wATER f2.4,True,train
0.86872816,8.583804,1,GABAAR_Antagonist,umap,15,0.1,24,2,Bicuculline,1,high,GABAAR_Antagonist,Bicuculline,high,250 uM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bicuculline run 1 24 5 17/250 microM F2,False,train
0.68592215,8.8146515,1,GABAAR_Antagonist,umap,15,0.1,27,2,Bicuculline,1,high,GABAAR_Antagonist,Bicuculline,high,250 uM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bicuculline run 1 24 5 17/250microM F1,False,train
0.63567173,8.725669,1,GABAAR_Antagonist,umap,15,0.1,28,2,Bicuculline,1,high,GABAAR_Antagonist,Bicuculline,high,250 uM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bicuculline run 2 25 5 17/250 microM F2.1,False,train
