compound,compound_class,mechanism_of_action,concentration_band,n_condition_dirs,n_active_condition_dirs,condition_dirs
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/Water F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/Water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/Water F2.4
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,high,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/62.5microM F1 bright but heart beat good | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/62.5microM F2 bright but heart beat good | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/62.5microM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/62.5microM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/62.5microM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/62.5microM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/62.5microM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/62.5microM F2.4
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,low,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F2 bright but heart beat good | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F6 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM f3 run from zero due to slip | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/31.25microM F2.1 bright but heart beat fine | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/31.25microM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/31.25microM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/31.25microM F2.5
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,mid,5,5,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25 microM F2 heart beat fine | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25microM F1 heart beat fine | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25microM F3 bright but heart beat good | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25microM F4 bright throughout but heart beat good | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25microM F5
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,unknown,2,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/DONT USE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018/DONT USE
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),control,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/Water F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/water F2.5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/Water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/Water F4
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),high,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/1mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/1mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/1mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/1mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/1mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/1mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/1mM f4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/1mm F2
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),low,9,9,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.25mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.25mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.25mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.25mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.25mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.25mM F3 0-80 ok | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.25mM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.25mM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.25mM F6
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),mid,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.5mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.5mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017/0.5mM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.5mM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.5mM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.5mM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/0.5mM F4
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),unknown,1,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017/DONT USE
