compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status,exposure_conditions,image_condition_dir,image_condition_dir_name,condition_folder_status,condition_kind,concentration_value,concentration_unit,concentration_label,concentration_value_uM,concentration_rank_in_run,concentration_band,n_treatment_concentrations_in_run
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F1,Water F1,active,control,,,control,,,control,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F3,Water F3,active,control,,,control,,,control,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/Water F4,Water F4,active,control,,,control,,,control,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/water F2,water F2,active,control,,,control,,,control,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F1,15.625microM F1,active,treatment,15.625,uM,15.625 uM,15.625,1.0,low,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F2 bright but heart beat good,15.625microM F2 bright but heart beat good,active,treatment,15.625,uM,15.625 uM,15.625,1.0,low,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F5,15.625microM F5,active,treatment,15.625,uM,15.625 uM,15.625,1.0,low,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM F6,15.625microM F6,active,treatment,15.625,uM,15.625 uM,15.625,1.0,low,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/15.625microM f3 run from zero due to slip,15.625microM f3 run from zero due to slip,active,treatment,15.625,uM,15.625 uM,15.625,1.0,low,3
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active,"62.5, 31.25, 15.6μM",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018/31.25 microM F2 heart beat fine,31.25 microM F2 heart beat fine,active,treatment,31.25,uM,31.25 uM,31.25,2.0,mid,3
