compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,active
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018,FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018,FOURTH BATCH 2018,Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018,active
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017,THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017,THIRD BATCH convulsants,4 aminophenyl sulfone run 2 24 july 2017,active
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017,THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017,THIRD BATCH convulsants,4 aminophenyl sulfone run1 23 July 2017,active
4-aminopyridine,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD,FIRST BATCH convulsants,4AP_0.2OD,active
4-aminopyridine,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD,FIRST BATCH convulsants,4AP_Round2_0.2OD,active
4-aminopyridine,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019,FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019,FOURTH BATCH 2018,4-Aminopyridine ReRun 1 28 Jan 2019,active
4-aminopyridine,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019,FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019,FOURTH BATCH 2018,4-Aminopyridine ReRun 2 20 Jan 2019,active
Aminophylline,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016,SECOND BATCH convulsants/Aminophylline 24 nov 2016,SECOND BATCH convulsants,Aminophylline 24 nov 2016,active
Aminophylline,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016,SECOND BATCH convulsants/Aminophylline 30 nove 2016,SECOND BATCH convulsants,Aminophylline 30 nove 2016,active
